model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
swin_b,ILSVRC2012_val_00000293.JPEG,n01440764,0,0,0.79156613,1,imagenet_c,shot_noise,1,none
swin_b,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.915176,1,imagenet_c,shot_noise,1,none
swin_b,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.92128617,1,imagenet_c,shot_noise,1,none
swin_b,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.8793842,1,imagenet_c,shot_noise,1,none
swin_b,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.86499757,1,imagenet_c,shot_noise,1,none
swin_b,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.90728927,1,imagenet_c,shot_noise,1,none
swin_b,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.8484419,1,imagenet_c,shot_noise,1,none
swin_b,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.8668691,1,imagenet_c,shot_noise,1,none
swin_b,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.8700786,1,imagenet_c,shot_noise,1,none
swin_b,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.88840145,1,imagenet_c,shot_noise,1,none
swin_b,ILSVRC2012_val_00010306.JPEG,n01440764,0,129,0.46619284,0,imagenet_c,shot_noise,1,none
swin_b,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.87865627,1,imagenet_c,shot_noise,1,none
swin_b,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.8223959,1,imagenet_c,shot_noise,1,none
swin_b,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.88770217,1,imagenet_c,shot_noise,1,none
swin_b,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.8679419,1,imagenet_c,shot_noise,1,none
swin_b,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.874942,1,imagenet_c,shot_noise,1,none
swin_b,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.88045555,1,imagenet_c,shot_noise,1,none
swin_b,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.8717137,1,imagenet_c,shot_noise,1,none
