model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
swin_v2_b,ILSVRC2012_val_00000293.JPEG,n01440764,0,390,0.82546437,0,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.8628225,1,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.8996622,1,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.8692212,1,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.79668856,1,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.84725106,1,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.8990563,1,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.87887096,1,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.897234,1,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.8858918,1,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00010306.JPEG,n01440764,0,133,0.84508544,0,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.8759865,1,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.89411926,1,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.90804195,1,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.895233,1,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.88277686,1,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.8783063,1,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.87279654,1,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.871423,1,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.91051674,1,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.89245695,1,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.9081962,1,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.88683474,1,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.9066663,1,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.8821168,1,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.8648687,1,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.8667339,1,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00026064.JPEG,n01440764,0,0,0.90993667,1,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.8841825,1,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00028158.JPEG,n01440764,0,0,0.8597205,1,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.8962434,1,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00030740.JPEG,n01440764,0,0,0.8995105,1,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00031094.JPEG,n01440764,0,0,0.8703143,1,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00031333.JPEG,n01440764,0,0,0.83061177,1,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.8920777,1,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00037375.JPEG,n01440764,0,0,0.50124586,1,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00037383.JPEG,n01440764,0,0,0.8367465,1,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00037596.JPEG,n01440764,0,0,0.89655167,1,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00037834.JPEG,n01440764,0,0,0.88358605,1,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00037861.JPEG,n01440764,0,0,0.892638,1,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00039905.JPEG,n01440764,0,0,0.89821005,1,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00040358.JPEG,n01440764,0,0,0.8861737,1,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00040833.JPEG,n01440764,0,0,0.88211393,1,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00041939.JPEG,n01440764,0,0,0.90925527,1,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00045866.JPEG,n01440764,0,0,0.8882137,1,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00045880.JPEG,n01440764,0,0,0.9056873,1,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00046252.JPEG,n01440764,0,0,0.8925687,1,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00046499.JPEG,n01440764,0,0,0.8948525,1,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00048204.JPEG,n01440764,0,0,0.8655047,1,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00048969.JPEG,n01440764,0,0,0.831569,1,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00000236.JPEG,n01443537,1,1,0.48604804,1,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00000262.JPEG,n01443537,1,1,0.89753133,1,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00000307.JPEG,n01443537,1,1,0.8739845,1,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00000994.JPEG,n01443537,1,1,0.8855132,1,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00002241.JPEG,n01443537,1,1,0.7128661,1,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00002848.JPEG,n01443537,1,1,0.86997324,1,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00003150.JPEG,n01443537,1,1,0.89619833,1,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00003735.JPEG,n01443537,1,1,0.85511124,1,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00004655.JPEG,n01443537,1,1,0.8572649,1,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00004677.JPEG,n01443537,1,1,0.8282975,1,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00005870.JPEG,n01443537,1,1,0.86000913,1,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00006007.JPEG,n01443537,1,1,0.8274806,1,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00006216.JPEG,n01443537,1,1,0.8283018,1,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00009034.JPEG,n01443537,1,1,0.88615173,1,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00010363.JPEG,n01443537,1,1,0.8259775,1,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00010509.JPEG,n01443537,1,1,0.8565924,1,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00011914.JPEG,n01443537,1,1,0.83226776,1,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00012880.JPEG,n01443537,1,1,0.8659706,1,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00013513.JPEG,n01443537,1,1,0.898646,1,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00013623.JPEG,n01443537,1,1,0.86676115,1,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00016962.JPEG,n01443537,1,1,0.8856684,1,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00018075.JPEG,n01443537,1,1,0.8787356,1,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00019459.JPEG,n01443537,1,1,0.87643313,1,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00020436.JPEG,n01443537,1,1,0.8448326,1,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00020785.JPEG,n01443537,1,1,0.87359136,1,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00020822.JPEG,n01443537,1,1,0.85003793,1,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00021905.JPEG,n01443537,1,1,0.8613296,1,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00022138.JPEG,n01443537,1,1,0.85029215,1,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00023869.JPEG,n01443537,1,1,0.8558931,1,imagenet,none,0,none
swin_v2_b,ILSVRC2012_val_00028713.JPEG,n01443537,1,1,0.85065347,1,imagenet,none,0,none
