model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
swin_v2_b,ILSVRC2012_val_00000293.JPEG,n01440764,0,0,0.6471206,1,imagenet_c,defocus_blur,1,none
swin_v2_b,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.8698946,1,imagenet_c,defocus_blur,1,none
swin_v2_b,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.537439,1,imagenet_c,defocus_blur,1,none
swin_v2_b,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.8652608,1,imagenet_c,defocus_blur,1,none
swin_v2_b,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.8665109,1,imagenet_c,defocus_blur,1,none
swin_v2_b,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.9429244,1,imagenet_c,defocus_blur,1,none
swin_v2_b,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.89481634,1,imagenet_c,defocus_blur,1,none
swin_v2_b,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.8660791,1,imagenet_c,defocus_blur,1,none
swin_v2_b,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.8927261,1,imagenet_c,defocus_blur,1,none
swin_v2_b,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.8887233,1,imagenet_c,defocus_blur,1,none
swin_v2_b,ILSVRC2012_val_00010306.JPEG,n01440764,0,133,0.85156476,0,imagenet_c,defocus_blur,1,none
swin_v2_b,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.8788565,1,imagenet_c,defocus_blur,1,none
swin_v2_b,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.8747318,1,imagenet_c,defocus_blur,1,none
swin_v2_b,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.89592946,1,imagenet_c,defocus_blur,1,none
swin_v2_b,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.8897769,1,imagenet_c,defocus_blur,1,none
swin_v2_b,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.8422123,1,imagenet_c,defocus_blur,1,none
swin_v2_b,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.8954615,1,imagenet_c,defocus_blur,1,none
swin_v2_b,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.8823876,1,imagenet_c,defocus_blur,1,none
swin_v2_b,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.8898131,1,imagenet_c,defocus_blur,1,none
swin_v2_b,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.90422964,1,imagenet_c,defocus_blur,1,none
swin_v2_b,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.8907445,1,imagenet_c,defocus_blur,1,none
swin_v2_b,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.8882279,1,imagenet_c,defocus_blur,1,none
swin_v2_b,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.8959938,1,imagenet_c,defocus_blur,1,none
swin_v2_b,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.89569116,1,imagenet_c,defocus_blur,1,none
swin_v2_b,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.8883252,1,imagenet_c,defocus_blur,1,none
swin_v2_b,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.8656668,1,imagenet_c,defocus_blur,1,none
swin_v2_b,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.89801264,1,imagenet_c,defocus_blur,1,none
swin_v2_b,ILSVRC2012_val_00026064.JPEG,n01440764,0,0,0.8112516,1,imagenet_c,defocus_blur,1,none
swin_v2_b,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.8847524,1,imagenet_c,defocus_blur,1,none
swin_v2_b,ILSVRC2012_val_00028158.JPEG,n01440764,0,0,0.87107897,1,imagenet_c,defocus_blur,1,none
swin_v2_b,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.8676488,1,imagenet_c,defocus_blur,1,none
swin_v2_b,ILSVRC2012_val_00030740.JPEG,n01440764,0,0,0.8834427,1,imagenet_c,defocus_blur,1,none
swin_v2_b,ILSVRC2012_val_00031094.JPEG,n01440764,0,0,0.86651474,1,imagenet_c,defocus_blur,1,none
swin_v2_b,ILSVRC2012_val_00031333.JPEG,n01440764,0,0,0.8383509,1,imagenet_c,defocus_blur,1,none
swin_v2_b,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.8901571,1,imagenet_c,defocus_blur,1,none
swin_v2_b,ILSVRC2012_val_00037375.JPEG,n01440764,0,0,0.41985542,1,imagenet_c,defocus_blur,1,none
swin_v2_b,ILSVRC2012_val_00037383.JPEG,n01440764,0,0,0.80662435,1,imagenet_c,defocus_blur,1,none
swin_v2_b,ILSVRC2012_val_00037596.JPEG,n01440764,0,0,0.8889756,1,imagenet_c,defocus_blur,1,none
swin_v2_b,ILSVRC2012_val_00037834.JPEG,n01440764,0,0,0.86994654,1,imagenet_c,defocus_blur,1,none
swin_v2_b,ILSVRC2012_val_00037861.JPEG,n01440764,0,0,0.87809074,1,imagenet_c,defocus_blur,1,none
swin_v2_b,ILSVRC2012_val_00039905.JPEG,n01440764,0,0,0.88830906,1,imagenet_c,defocus_blur,1,none
