model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
swin_v2_b,ILSVRC2012_val_00000293.JPEG,n01440764,0,390,0.37049255,0,imagenet_c,glass_blur,1,none
swin_v2_b,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.7581665,1,imagenet_c,glass_blur,1,none
swin_v2_b,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.35021454,1,imagenet_c,glass_blur,1,none
swin_v2_b,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.87088704,1,imagenet_c,glass_blur,1,none
swin_v2_b,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.8778624,1,imagenet_c,glass_blur,1,none
swin_v2_b,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.9521011,1,imagenet_c,glass_blur,1,none
swin_v2_b,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.87088424,1,imagenet_c,glass_blur,1,none
swin_v2_b,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.863162,1,imagenet_c,glass_blur,1,none
swin_v2_b,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.87481064,1,imagenet_c,glass_blur,1,none
swin_v2_b,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.86868095,1,imagenet_c,glass_blur,1,none
swin_v2_b,ILSVRC2012_val_00010306.JPEG,n01440764,0,133,0.721353,0,imagenet_c,glass_blur,1,none
swin_v2_b,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.85903543,1,imagenet_c,glass_blur,1,none
swin_v2_b,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.86699194,1,imagenet_c,glass_blur,1,none
swin_v2_b,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.8900342,1,imagenet_c,glass_blur,1,none
swin_v2_b,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.8759504,1,imagenet_c,glass_blur,1,none
swin_v2_b,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.84714144,1,imagenet_c,glass_blur,1,none
swin_v2_b,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.8963432,1,imagenet_c,glass_blur,1,none
swin_v2_b,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.8653787,1,imagenet_c,glass_blur,1,none
swin_v2_b,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.87375444,1,imagenet_c,glass_blur,1,none
swin_v2_b,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.8860339,1,imagenet_c,glass_blur,1,none
swin_v2_b,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.8838322,1,imagenet_c,glass_blur,1,none
swin_v2_b,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.8963471,1,imagenet_c,glass_blur,1,none
swin_v2_b,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.9023034,1,imagenet_c,glass_blur,1,none
swin_v2_b,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.8896339,1,imagenet_c,glass_blur,1,none
swin_v2_b,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.87628764,1,imagenet_c,glass_blur,1,none
swin_v2_b,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.86269546,1,imagenet_c,glass_blur,1,none
swin_v2_b,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.8730484,1,imagenet_c,glass_blur,1,none
swin_v2_b,ILSVRC2012_val_00026064.JPEG,n01440764,0,0,0.8377146,1,imagenet_c,glass_blur,1,none
swin_v2_b,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.8702801,1,imagenet_c,glass_blur,1,none
swin_v2_b,ILSVRC2012_val_00028158.JPEG,n01440764,0,0,0.85886127,1,imagenet_c,glass_blur,1,none
swin_v2_b,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.8789321,1,imagenet_c,glass_blur,1,none
swin_v2_b,ILSVRC2012_val_00030740.JPEG,n01440764,0,0,0.8881676,1,imagenet_c,glass_blur,1,none
swin_v2_b,ILSVRC2012_val_00031094.JPEG,n01440764,0,0,0.3951314,1,imagenet_c,glass_blur,1,none
swin_v2_b,ILSVRC2012_val_00031333.JPEG,n01440764,0,0,0.83643675,1,imagenet_c,glass_blur,1,none
swin_v2_b,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.88357294,1,imagenet_c,glass_blur,1,none
swin_v2_b,ILSVRC2012_val_00037375.JPEG,n01440764,0,0,0.6292467,1,imagenet_c,glass_blur,1,none
swin_v2_b,ILSVRC2012_val_00037383.JPEG,n01440764,0,0,0.5130478,1,imagenet_c,glass_blur,1,none
