model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
swin_v2_b,ILSVRC2012_val_00000293.JPEG,n01440764,0,390,0.6622568,0,imagenet_c,motion_blur,1,none
swin_v2_b,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.86375624,1,imagenet_c,motion_blur,1,none
swin_v2_b,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.52086616,1,imagenet_c,motion_blur,1,none
swin_v2_b,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.8839087,1,imagenet_c,motion_blur,1,none
swin_v2_b,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.8315552,1,imagenet_c,motion_blur,1,none
swin_v2_b,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.92445344,1,imagenet_c,motion_blur,1,none
swin_v2_b,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.846643,1,imagenet_c,motion_blur,1,none
swin_v2_b,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.8690893,1,imagenet_c,motion_blur,1,none
swin_v2_b,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.8861219,1,imagenet_c,motion_blur,1,none
swin_v2_b,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.8802384,1,imagenet_c,motion_blur,1,none
swin_v2_b,ILSVRC2012_val_00010306.JPEG,n01440764,0,133,0.8318026,0,imagenet_c,motion_blur,1,none
swin_v2_b,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.87007093,1,imagenet_c,motion_blur,1,none
swin_v2_b,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.88592887,1,imagenet_c,motion_blur,1,none
swin_v2_b,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.89699966,1,imagenet_c,motion_blur,1,none
swin_v2_b,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.8791628,1,imagenet_c,motion_blur,1,none
swin_v2_b,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.84898347,1,imagenet_c,motion_blur,1,none
swin_v2_b,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.8972919,1,imagenet_c,motion_blur,1,none
swin_v2_b,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.88618094,1,imagenet_c,motion_blur,1,none
swin_v2_b,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.88834417,1,imagenet_c,motion_blur,1,none
swin_v2_b,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.9065966,1,imagenet_c,motion_blur,1,none
swin_v2_b,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.890576,1,imagenet_c,motion_blur,1,none
swin_v2_b,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.86683863,1,imagenet_c,motion_blur,1,none
swin_v2_b,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.8962817,1,imagenet_c,motion_blur,1,none
swin_v2_b,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.8881634,1,imagenet_c,motion_blur,1,none
swin_v2_b,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.8834175,1,imagenet_c,motion_blur,1,none
swin_v2_b,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.8687758,1,imagenet_c,motion_blur,1,none
swin_v2_b,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.88382953,1,imagenet_c,motion_blur,1,none
swin_v2_b,ILSVRC2012_val_00026064.JPEG,n01440764,0,0,0.8637749,1,imagenet_c,motion_blur,1,none
swin_v2_b,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.88682896,1,imagenet_c,motion_blur,1,none
swin_v2_b,ILSVRC2012_val_00028158.JPEG,n01440764,0,0,0.88728493,1,imagenet_c,motion_blur,1,none
swin_v2_b,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.8872192,1,imagenet_c,motion_blur,1,none
swin_v2_b,ILSVRC2012_val_00030740.JPEG,n01440764,0,0,0.9068137,1,imagenet_c,motion_blur,1,none
swin_v2_b,ILSVRC2012_val_00031094.JPEG,n01440764,0,0,0.87172014,1,imagenet_c,motion_blur,1,none
swin_v2_b,ILSVRC2012_val_00031333.JPEG,n01440764,0,0,0.8185998,1,imagenet_c,motion_blur,1,none
swin_v2_b,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.8873253,1,imagenet_c,motion_blur,1,none
