model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
swin_v2_b,ILSVRC2012_val_00000293.JPEG,n01440764,0,390,0.42734778,0,imagenet_c,zoom_blur,1,none
swin_v2_b,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.8581081,1,imagenet_c,zoom_blur,1,none
swin_v2_b,ILSVRC2012_val_00003014.JPEG,n01440764,0,472,0.30763364,0,imagenet_c,zoom_blur,1,none
swin_v2_b,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.8744598,1,imagenet_c,zoom_blur,1,none
swin_v2_b,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.74635863,1,imagenet_c,zoom_blur,1,none
swin_v2_b,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.5972968,1,imagenet_c,zoom_blur,1,none
swin_v2_b,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.85753226,1,imagenet_c,zoom_blur,1,none
swin_v2_b,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.8651973,1,imagenet_c,zoom_blur,1,none
swin_v2_b,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.89768696,1,imagenet_c,zoom_blur,1,none
swin_v2_b,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.89458907,1,imagenet_c,zoom_blur,1,none
swin_v2_b,ILSVRC2012_val_00010306.JPEG,n01440764,0,133,0.7633754,0,imagenet_c,zoom_blur,1,none
swin_v2_b,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.8811716,1,imagenet_c,zoom_blur,1,none
swin_v2_b,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.8512974,1,imagenet_c,zoom_blur,1,none
swin_v2_b,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.87944555,1,imagenet_c,zoom_blur,1,none
swin_v2_b,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.89408123,1,imagenet_c,zoom_blur,1,none
swin_v2_b,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.77033687,1,imagenet_c,zoom_blur,1,none
swin_v2_b,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.8938738,1,imagenet_c,zoom_blur,1,none
swin_v2_b,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.83663744,1,imagenet_c,zoom_blur,1,none
swin_v2_b,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.8783834,1,imagenet_c,zoom_blur,1,none
swin_v2_b,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.88004875,1,imagenet_c,zoom_blur,1,none
swin_v2_b,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.6142214,1,imagenet_c,zoom_blur,1,none
swin_v2_b,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.8810349,1,imagenet_c,zoom_blur,1,none
swin_v2_b,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.8631396,1,imagenet_c,zoom_blur,1,none
swin_v2_b,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.8958111,1,imagenet_c,zoom_blur,1,none
swin_v2_b,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.8807299,1,imagenet_c,zoom_blur,1,none
swin_v2_b,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.8772244,1,imagenet_c,zoom_blur,1,none
swin_v2_b,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.88768744,1,imagenet_c,zoom_blur,1,none
swin_v2_b,ILSVRC2012_val_00026064.JPEG,n01440764,0,0,0.8263886,1,imagenet_c,zoom_blur,1,none
swin_v2_b,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.8690377,1,imagenet_c,zoom_blur,1,none
swin_v2_b,ILSVRC2012_val_00028158.JPEG,n01440764,0,0,0.519474,1,imagenet_c,zoom_blur,1,none
swin_v2_b,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.8493646,1,imagenet_c,zoom_blur,1,none
swin_v2_b,ILSVRC2012_val_00030740.JPEG,n01440764,0,0,0.8934777,1,imagenet_c,zoom_blur,1,none
swin_v2_b,ILSVRC2012_val_00031094.JPEG,n01440764,0,0,0.80151147,1,imagenet_c,zoom_blur,1,none
