model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
swin_v2_b,ILSVRC2012_val_00000293.JPEG,n01440764,0,0,0.89428806,1,imagenet_c,gaussian_noise,1,none
swin_v2_b,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.87749976,1,imagenet_c,gaussian_noise,1,none
swin_v2_b,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.6139447,1,imagenet_c,gaussian_noise,1,none
swin_v2_b,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.8574112,1,imagenet_c,gaussian_noise,1,none
swin_v2_b,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.8126717,1,imagenet_c,gaussian_noise,1,none
swin_v2_b,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.8935933,1,imagenet_c,gaussian_noise,1,none
swin_v2_b,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.8664026,1,imagenet_c,gaussian_noise,1,none
swin_v2_b,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.8408565,1,imagenet_c,gaussian_noise,1,none
swin_v2_b,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.865748,1,imagenet_c,gaussian_noise,1,none
swin_v2_b,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.87983274,1,imagenet_c,gaussian_noise,1,none
swin_v2_b,ILSVRC2012_val_00010306.JPEG,n01440764,0,133,0.84586334,0,imagenet_c,gaussian_noise,1,none
swin_v2_b,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.87848985,1,imagenet_c,gaussian_noise,1,none
swin_v2_b,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.8759749,1,imagenet_c,gaussian_noise,1,none
swin_v2_b,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.8987926,1,imagenet_c,gaussian_noise,1,none
swin_v2_b,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.8948233,1,imagenet_c,gaussian_noise,1,none
swin_v2_b,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.87125,1,imagenet_c,gaussian_noise,1,none
swin_v2_b,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.89018136,1,imagenet_c,gaussian_noise,1,none
swin_v2_b,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.8843477,1,imagenet_c,gaussian_noise,1,none
swin_v2_b,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.88330674,1,imagenet_c,gaussian_noise,1,none
swin_v2_b,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.9031476,1,imagenet_c,gaussian_noise,1,none
swin_v2_b,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.8875602,1,imagenet_c,gaussian_noise,1,none
swin_v2_b,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.8960319,1,imagenet_c,gaussian_noise,1,none
