model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
swin_v2_b,ILSVRC2012_val_00000293.JPEG,n01440764,0,0,0.61239046,1,imagenet_c,impulse_noise,1,none
swin_v2_b,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.54823846,1,imagenet_c,impulse_noise,1,none
swin_v2_b,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.6437072,1,imagenet_c,impulse_noise,1,none
swin_v2_b,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.85229516,1,imagenet_c,impulse_noise,1,none
swin_v2_b,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.8615361,1,imagenet_c,impulse_noise,1,none
swin_v2_b,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.8622641,1,imagenet_c,impulse_noise,1,none
swin_v2_b,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.84354484,1,imagenet_c,impulse_noise,1,none
swin_v2_b,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.8584288,1,imagenet_c,impulse_noise,1,none
swin_v2_b,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.8678299,1,imagenet_c,impulse_noise,1,none
swin_v2_b,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.8836352,1,imagenet_c,impulse_noise,1,none
swin_v2_b,ILSVRC2012_val_00010306.JPEG,n01440764,0,133,0.8197981,0,imagenet_c,impulse_noise,1,none
swin_v2_b,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.87558866,1,imagenet_c,impulse_noise,1,none
swin_v2_b,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.8557231,1,imagenet_c,impulse_noise,1,none
swin_v2_b,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.89276135,1,imagenet_c,impulse_noise,1,none
swin_v2_b,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.84816194,1,imagenet_c,impulse_noise,1,none
swin_v2_b,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.83792263,1,imagenet_c,impulse_noise,1,none
swin_v2_b,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.8798223,1,imagenet_c,impulse_noise,1,none
swin_v2_b,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.8691315,1,imagenet_c,impulse_noise,1,none
swin_v2_b,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.8401315,1,imagenet_c,impulse_noise,1,none
swin_v2_b,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.85442674,1,imagenet_c,impulse_noise,1,none
