model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
swin_v2_b,ILSVRC2012_val_00000293.JPEG,n01440764,0,0,0.8188698,1,imagenet_c,shot_noise,1,none
swin_v2_b,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.76648754,1,imagenet_c,shot_noise,1,none
swin_v2_b,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.596511,1,imagenet_c,shot_noise,1,none
swin_v2_b,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.8877714,1,imagenet_c,shot_noise,1,none
swin_v2_b,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.8700751,1,imagenet_c,shot_noise,1,none
swin_v2_b,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.91713023,1,imagenet_c,shot_noise,1,none
swin_v2_b,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.8702368,1,imagenet_c,shot_noise,1,none
swin_v2_b,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.8571396,1,imagenet_c,shot_noise,1,none
swin_v2_b,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.87522155,1,imagenet_c,shot_noise,1,none
swin_v2_b,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.87954414,1,imagenet_c,shot_noise,1,none
swin_v2_b,ILSVRC2012_val_00010306.JPEG,n01440764,0,133,0.84991485,0,imagenet_c,shot_noise,1,none
swin_v2_b,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.88257205,1,imagenet_c,shot_noise,1,none
swin_v2_b,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.8925405,1,imagenet_c,shot_noise,1,none
swin_v2_b,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.8877413,1,imagenet_c,shot_noise,1,none
swin_v2_b,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.8867855,1,imagenet_c,shot_noise,1,none
swin_v2_b,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.87309784,1,imagenet_c,shot_noise,1,none
swin_v2_b,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.886539,1,imagenet_c,shot_noise,1,none
swin_v2_b,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.87905055,1,imagenet_c,shot_noise,1,none
swin_v2_b,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.8583689,1,imagenet_c,shot_noise,1,none
swin_v2_b,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.910529,1,imagenet_c,shot_noise,1,none
swin_v2_b,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.88308454,1,imagenet_c,shot_noise,1,none
swin_v2_b,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.8979344,1,imagenet_c,shot_noise,1,none
