model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
vit_b_16,ILSVRC2012_val_00000293.JPEG,n01440764,0,0,0.44221994,1,imagenet,none,0,none
vit_b_16,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.905526,1,imagenet,none,0,none
vit_b_16,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.8690396,1,imagenet,none,0,none
vit_b_16,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.8809388,1,imagenet,none,0,none
vit_b_16,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.7102103,1,imagenet,none,0,none
vit_b_16,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.918355,1,imagenet,none,0,none
vit_b_16,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.88408625,1,imagenet,none,0,none
vit_b_16,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.8998034,1,imagenet,none,0,none
vit_b_16,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.8681512,1,imagenet,none,0,none
vit_b_16,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.85887676,1,imagenet,none,0,none
vit_b_16,ILSVRC2012_val_00010306.JPEG,n01440764,0,133,0.92930585,0,imagenet,none,0,none
vit_b_16,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.8934933,1,imagenet,none,0,none
vit_b_16,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.8886655,1,imagenet,none,0,none
vit_b_16,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.9070008,1,imagenet,none,0,none
vit_b_16,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.8740274,1,imagenet,none,0,none
vit_b_16,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.8764872,1,imagenet,none,0,none
vit_b_16,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.8926105,1,imagenet,none,0,none
vit_b_16,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.81400996,1,imagenet,none,0,none
vit_b_16,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.8628201,1,imagenet,none,0,none
vit_b_16,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.90157694,1,imagenet,none,0,none
vit_b_16,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.8126806,1,imagenet,none,0,none
vit_b_16,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.7392393,1,imagenet,none,0,none
vit_b_16,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.89536005,1,imagenet,none,0,none
vit_b_16,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.88251996,1,imagenet,none,0,none
vit_b_16,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.8894257,1,imagenet,none,0,none
vit_b_16,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.88486046,1,imagenet,none,0,none
vit_b_16,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.8565469,1,imagenet,none,0,none
vit_b_16,ILSVRC2012_val_00026064.JPEG,n01440764,0,0,0.89875036,1,imagenet,none,0,none
vit_b_16,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.8678861,1,imagenet,none,0,none
vit_b_16,ILSVRC2012_val_00028158.JPEG,n01440764,0,0,0.9098814,1,imagenet,none,0,none
vit_b_16,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.86472255,1,imagenet,none,0,none
vit_b_16,ILSVRC2012_val_00030740.JPEG,n01440764,0,0,0.88958246,1,imagenet,none,0,none
vit_b_16,ILSVRC2012_val_00031094.JPEG,n01440764,0,0,0.8278702,1,imagenet,none,0,none
vit_b_16,ILSVRC2012_val_00031333.JPEG,n01440764,0,0,0.8742886,1,imagenet,none,0,none
vit_b_16,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.8760986,1,imagenet,none,0,none
vit_b_16,ILSVRC2012_val_00037375.JPEG,n01440764,0,758,0.39587975,0,imagenet,none,0,none
vit_b_16,ILSVRC2012_val_00037383.JPEG,n01440764,0,0,0.41903952,1,imagenet,none,0,none
vit_b_16,ILSVRC2012_val_00037596.JPEG,n01440764,0,0,0.87491125,1,imagenet,none,0,none
vit_b_16,ILSVRC2012_val_00037834.JPEG,n01440764,0,0,0.8996827,1,imagenet,none,0,none
vit_b_16,ILSVRC2012_val_00037861.JPEG,n01440764,0,0,0.8730263,1,imagenet,none,0,none
vit_b_16,ILSVRC2012_val_00039905.JPEG,n01440764,0,0,0.9022087,1,imagenet,none,0,none
vit_b_16,ILSVRC2012_val_00040358.JPEG,n01440764,0,0,0.8800185,1,imagenet,none,0,none
vit_b_16,ILSVRC2012_val_00040833.JPEG,n01440764,0,0,0.8749038,1,imagenet,none,0,none
