model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
vit_b_16,ILSVRC2012_val_00000293.JPEG,n01440764,0,394,0.4688445,0,imagenet_c,defocus_blur,1,none
vit_b_16,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.86943805,1,imagenet_c,defocus_blur,1,none
vit_b_16,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.5486396,1,imagenet_c,defocus_blur,1,none
vit_b_16,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.89591694,1,imagenet_c,defocus_blur,1,none
vit_b_16,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.8692838,1,imagenet_c,defocus_blur,1,none
vit_b_16,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.77798384,1,imagenet_c,defocus_blur,1,none
vit_b_16,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.89405274,1,imagenet_c,defocus_blur,1,none
vit_b_16,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.89823455,1,imagenet_c,defocus_blur,1,none
vit_b_16,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.8966423,1,imagenet_c,defocus_blur,1,none
vit_b_16,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.8756917,1,imagenet_c,defocus_blur,1,none
vit_b_16,ILSVRC2012_val_00010306.JPEG,n01440764,0,133,0.3321619,0,imagenet_c,defocus_blur,1,none
vit_b_16,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.88224095,1,imagenet_c,defocus_blur,1,none
vit_b_16,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.8910969,1,imagenet_c,defocus_blur,1,none
vit_b_16,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.9010839,1,imagenet_c,defocus_blur,1,none
vit_b_16,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.88444614,1,imagenet_c,defocus_blur,1,none
vit_b_16,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.88818556,1,imagenet_c,defocus_blur,1,none
vit_b_16,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.9064342,1,imagenet_c,defocus_blur,1,none
vit_b_16,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.88482076,1,imagenet_c,defocus_blur,1,none
vit_b_16,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.9108688,1,imagenet_c,defocus_blur,1,none
vit_b_16,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.91363794,1,imagenet_c,defocus_blur,1,none
vit_b_16,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.84734136,1,imagenet_c,defocus_blur,1,none
vit_b_16,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.85216486,1,imagenet_c,defocus_blur,1,none
vit_b_16,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.8988282,1,imagenet_c,defocus_blur,1,none
vit_b_16,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.89025337,1,imagenet_c,defocus_blur,1,none
vit_b_16,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.9170523,1,imagenet_c,defocus_blur,1,none
