model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
vit_b_16,ILSVRC2012_val_00000293.JPEG,n01440764,0,712,0.087092735,0,imagenet_c,glass_blur,5,none
vit_b_16,ILSVRC2012_val_00002138.JPEG,n01440764,0,356,0.34652394,0,imagenet_c,glass_blur,5,none
vit_b_16,ILSVRC2012_val_00003014.JPEG,n01440764,0,439,0.21639925,0,imagenet_c,glass_blur,5,none
vit_b_16,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.58386827,1,imagenet_c,glass_blur,5,none
vit_b_16,ILSVRC2012_val_00007197.JPEG,n01440764,0,943,0.12153801,0,imagenet_c,glass_blur,5,none
vit_b_16,ILSVRC2012_val_00009111.JPEG,n01440764,0,384,0.24996597,0,imagenet_c,glass_blur,5,none
vit_b_16,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.8879299,1,imagenet_c,glass_blur,5,none
vit_b_16,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.5580155,1,imagenet_c,glass_blur,5,none
vit_b_16,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.89916456,1,imagenet_c,glass_blur,5,none
vit_b_16,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.8429629,1,imagenet_c,glass_blur,5,none
vit_b_16,ILSVRC2012_val_00010306.JPEG,n01440764,0,73,0.32491532,0,imagenet_c,glass_blur,5,none
vit_b_16,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.8641525,1,imagenet_c,glass_blur,5,none
vit_b_16,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.89306986,1,imagenet_c,glass_blur,5,none
vit_b_16,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.29736134,1,imagenet_c,glass_blur,5,none
vit_b_16,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.8672028,1,imagenet_c,glass_blur,5,none
vit_b_16,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.9009897,1,imagenet_c,glass_blur,5,none
vit_b_16,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.7452744,1,imagenet_c,glass_blur,5,none
vit_b_16,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.26851425,1,imagenet_c,glass_blur,5,none
vit_b_16,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.90451425,1,imagenet_c,glass_blur,5,none
vit_b_16,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.3292912,1,imagenet_c,glass_blur,5,none
vit_b_16,ILSVRC2012_val_00018317.JPEG,n01440764,0,690,0.08072514,0,imagenet_c,glass_blur,5,none
vit_b_16,ILSVRC2012_val_00021740.JPEG,n01440764,0,370,0.3929936,0,imagenet_c,glass_blur,5,none
vit_b_16,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.5462923,1,imagenet_c,glass_blur,5,none
vit_b_16,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.4697153,1,imagenet_c,glass_blur,5,none
vit_b_16,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.89443994,1,imagenet_c,glass_blur,5,none
vit_b_16,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.46070096,1,imagenet_c,glass_blur,5,none
vit_b_16,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.8683026,1,imagenet_c,glass_blur,5,none
vit_b_16,ILSVRC2012_val_00026064.JPEG,n01440764,0,329,0.2562279,0,imagenet_c,glass_blur,5,none
vit_b_16,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.46854168,1,imagenet_c,glass_blur,5,none
vit_b_16,ILSVRC2012_val_00028158.JPEG,n01440764,0,384,0.320606,0,imagenet_c,glass_blur,5,none
vit_b_16,ILSVRC2012_val_00029930.JPEG,n01440764,0,940,0.26607215,0,imagenet_c,glass_blur,5,none
vit_b_16,ILSVRC2012_val_00030740.JPEG,n01440764,0,641,0.0820218,0,imagenet_c,glass_blur,5,none
vit_b_16,ILSVRC2012_val_00031094.JPEG,n01440764,0,449,0.2678754,0,imagenet_c,glass_blur,5,none
vit_b_16,ILSVRC2012_val_00031333.JPEG,n01440764,0,356,0.20795242,0,imagenet_c,glass_blur,5,none
vit_b_16,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.7282367,1,imagenet_c,glass_blur,5,none
vit_b_16,ILSVRC2012_val_00037375.JPEG,n01440764,0,741,0.024317665,0,imagenet_c,glass_blur,5,none
vit_b_16,ILSVRC2012_val_00037383.JPEG,n01440764,0,616,0.118758135,0,imagenet_c,glass_blur,5,none
vit_b_16,ILSVRC2012_val_00037596.JPEG,n01440764,0,0,0.8846267,1,imagenet_c,glass_blur,5,none
vit_b_16,ILSVRC2012_val_00037834.JPEG,n01440764,0,0,0.7253257,1,imagenet_c,glass_blur,5,none
