model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
vit_b_16,ILSVRC2012_val_00000293.JPEG,n01440764,0,103,0.50323784,0,imagenet_c,motion_blur,3,none
vit_b_16,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.8448856,1,imagenet_c,motion_blur,3,none
vit_b_16,ILSVRC2012_val_00003014.JPEG,n01440764,0,693,0.5587482,0,imagenet_c,motion_blur,3,none
vit_b_16,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.9059622,1,imagenet_c,motion_blur,3,none
vit_b_16,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.88849354,1,imagenet_c,motion_blur,3,none
vit_b_16,ILSVRC2012_val_00009111.JPEG,n01440764,0,103,0.2246927,0,imagenet_c,motion_blur,3,none
vit_b_16,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.8677973,1,imagenet_c,motion_blur,3,none
vit_b_16,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.90523654,1,imagenet_c,motion_blur,3,none
vit_b_16,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.9123623,1,imagenet_c,motion_blur,3,none
vit_b_16,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.870108,1,imagenet_c,motion_blur,3,none
vit_b_16,ILSVRC2012_val_00010306.JPEG,n01440764,0,133,0.08298179,0,imagenet_c,motion_blur,3,none
vit_b_16,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.88244045,1,imagenet_c,motion_blur,3,none
vit_b_16,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.8772081,1,imagenet_c,motion_blur,3,none
vit_b_16,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.91900283,1,imagenet_c,motion_blur,3,none
vit_b_16,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.89523536,1,imagenet_c,motion_blur,3,none
vit_b_16,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.85561466,1,imagenet_c,motion_blur,3,none
vit_b_16,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.89587957,1,imagenet_c,motion_blur,3,none
vit_b_16,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.8836488,1,imagenet_c,motion_blur,3,none
vit_b_16,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.8791748,1,imagenet_c,motion_blur,3,none
vit_b_16,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.895785,1,imagenet_c,motion_blur,3,none
vit_b_16,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.43799984,1,imagenet_c,motion_blur,3,none
vit_b_16,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.8919764,1,imagenet_c,motion_blur,3,none
vit_b_16,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.8922359,1,imagenet_c,motion_blur,3,none
vit_b_16,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.8942846,1,imagenet_c,motion_blur,3,none
vit_b_16,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.90829605,1,imagenet_c,motion_blur,3,none
vit_b_16,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.89486724,1,imagenet_c,motion_blur,3,none
vit_b_16,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.8588368,1,imagenet_c,motion_blur,3,none
vit_b_16,ILSVRC2012_val_00026064.JPEG,n01440764,0,0,0.31770992,1,imagenet_c,motion_blur,3,none
vit_b_16,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.8953961,1,imagenet_c,motion_blur,3,none
vit_b_16,ILSVRC2012_val_00028158.JPEG,n01440764,0,843,0.474134,0,imagenet_c,motion_blur,3,none
vit_b_16,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.8876868,1,imagenet_c,motion_blur,3,none
vit_b_16,ILSVRC2012_val_00030740.JPEG,n01440764,0,0,0.9023189,1,imagenet_c,motion_blur,3,none
vit_b_16,ILSVRC2012_val_00031094.JPEG,n01440764,0,830,0.27939394,0,imagenet_c,motion_blur,3,none
vit_b_16,ILSVRC2012_val_00031333.JPEG,n01440764,0,0,0.8590268,1,imagenet_c,motion_blur,3,none
vit_b_16,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.91482496,1,imagenet_c,motion_blur,3,none
vit_b_16,ILSVRC2012_val_00037375.JPEG,n01440764,0,0,0.6874953,1,imagenet_c,motion_blur,3,none
vit_b_16,ILSVRC2012_val_00037383.JPEG,n01440764,0,0,0.048993357,1,imagenet_c,motion_blur,3,none
vit_b_16,ILSVRC2012_val_00037596.JPEG,n01440764,0,0,0.8601545,1,imagenet_c,motion_blur,3,none
vit_b_16,ILSVRC2012_val_00037834.JPEG,n01440764,0,0,0.90152556,1,imagenet_c,motion_blur,3,none
vit_b_16,ILSVRC2012_val_00037861.JPEG,n01440764,0,0,0.8786072,1,imagenet_c,motion_blur,3,none
vit_b_16,ILSVRC2012_val_00039905.JPEG,n01440764,0,0,0.9193606,1,imagenet_c,motion_blur,3,none
vit_b_16,ILSVRC2012_val_00040358.JPEG,n01440764,0,0,0.90982425,1,imagenet_c,motion_blur,3,none
vit_b_16,ILSVRC2012_val_00040833.JPEG,n01440764,0,0,0.8816827,1,imagenet_c,motion_blur,3,none
vit_b_16,ILSVRC2012_val_00041939.JPEG,n01440764,0,0,0.7793181,1,imagenet_c,motion_blur,3,none
vit_b_16,ILSVRC2012_val_00045866.JPEG,n01440764,0,0,0.9061136,1,imagenet_c,motion_blur,3,none
vit_b_16,ILSVRC2012_val_00045880.JPEG,n01440764,0,0,0.900898,1,imagenet_c,motion_blur,3,none
vit_b_16,ILSVRC2012_val_00046252.JPEG,n01440764,0,0,0.9101949,1,imagenet_c,motion_blur,3,none
vit_b_16,ILSVRC2012_val_00046499.JPEG,n01440764,0,0,0.89967716,1,imagenet_c,motion_blur,3,none
vit_b_16,ILSVRC2012_val_00048204.JPEG,n01440764,0,0,0.9117075,1,imagenet_c,motion_blur,3,none
vit_b_16,ILSVRC2012_val_00048969.JPEG,n01440764,0,0,0.88685733,1,imagenet_c,motion_blur,3,none
vit_b_16,ILSVRC2012_val_00000236.JPEG,n01443537,1,117,0.7014519,0,imagenet_c,motion_blur,3,none
vit_b_16,ILSVRC2012_val_00000262.JPEG,n01443537,1,1,0.8622773,1,imagenet_c,motion_blur,3,none
vit_b_16,ILSVRC2012_val_00000307.JPEG,n01443537,1,1,0.90858656,1,imagenet_c,motion_blur,3,none
vit_b_16,ILSVRC2012_val_00000994.JPEG,n01443537,1,1,0.92027795,1,imagenet_c,motion_blur,3,none
vit_b_16,ILSVRC2012_val_00002241.JPEG,n01443537,1,476,0.8898047,0,imagenet_c,motion_blur,3,none
vit_b_16,ILSVRC2012_val_00002848.JPEG,n01443537,1,1,0.8444335,1,imagenet_c,motion_blur,3,none
vit_b_16,ILSVRC2012_val_00003150.JPEG,n01443537,1,1,0.78361946,1,imagenet_c,motion_blur,3,none
vit_b_16,ILSVRC2012_val_00003735.JPEG,n01443537,1,1,0.9278853,1,imagenet_c,motion_blur,3,none
