model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
vit_b_16,ILSVRC2012_val_00000293.JPEG,n01440764,0,0,0.10668445,1,imagenet_c,zoom_blur,5,none
vit_b_16,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.5966054,1,imagenet_c,zoom_blur,5,none
vit_b_16,ILSVRC2012_val_00003014.JPEG,n01440764,0,768,0.48449352,0,imagenet_c,zoom_blur,5,none
vit_b_16,ILSVRC2012_val_00006697.JPEG,n01440764,0,671,0.24115263,0,imagenet_c,zoom_blur,5,none
vit_b_16,ILSVRC2012_val_00007197.JPEG,n01440764,0,93,0.13619508,0,imagenet_c,zoom_blur,5,none
vit_b_16,ILSVRC2012_val_00009111.JPEG,n01440764,0,328,0.048326757,0,imagenet_c,zoom_blur,5,none
vit_b_16,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.809159,1,imagenet_c,zoom_blur,5,none
vit_b_16,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.84089327,1,imagenet_c,zoom_blur,5,none
vit_b_16,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.9170375,1,imagenet_c,zoom_blur,5,none
vit_b_16,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.9308825,1,imagenet_c,zoom_blur,5,none
vit_b_16,ILSVRC2012_val_00010306.JPEG,n01440764,0,372,0.13105369,0,imagenet_c,zoom_blur,5,none
vit_b_16,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.87028676,1,imagenet_c,zoom_blur,5,none
vit_b_16,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.77505445,1,imagenet_c,zoom_blur,5,none
vit_b_16,ILSVRC2012_val_00012503.JPEG,n01440764,0,998,0.7294702,0,imagenet_c,zoom_blur,5,none
vit_b_16,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.79516995,1,imagenet_c,zoom_blur,5,none
vit_b_16,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.8200971,1,imagenet_c,zoom_blur,5,none
vit_b_16,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.69408166,1,imagenet_c,zoom_blur,5,none
vit_b_16,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.43598583,1,imagenet_c,zoom_blur,5,none
vit_b_16,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.85761625,1,imagenet_c,zoom_blur,5,none
vit_b_16,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.8293571,1,imagenet_c,zoom_blur,5,none
vit_b_16,ILSVRC2012_val_00018317.JPEG,n01440764,0,843,0.19423454,0,imagenet_c,zoom_blur,5,none
vit_b_16,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.43737182,1,imagenet_c,zoom_blur,5,none
vit_b_16,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.6982698,1,imagenet_c,zoom_blur,5,none
vit_b_16,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.81580484,1,imagenet_c,zoom_blur,5,none
vit_b_16,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.8702299,1,imagenet_c,zoom_blur,5,none
vit_b_16,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.8731548,1,imagenet_c,zoom_blur,5,none
vit_b_16,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.71147263,1,imagenet_c,zoom_blur,5,none
vit_b_16,ILSVRC2012_val_00026064.JPEG,n01440764,0,644,0.86589956,0,imagenet_c,zoom_blur,5,none
vit_b_16,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.7326738,1,imagenet_c,zoom_blur,5,none
vit_b_16,ILSVRC2012_val_00028158.JPEG,n01440764,0,837,0.0802999,0,imagenet_c,zoom_blur,5,none
vit_b_16,ILSVRC2012_val_00029930.JPEG,n01440764,0,955,0.12534907,0,imagenet_c,zoom_blur,5,none
vit_b_16,ILSVRC2012_val_00030740.JPEG,n01440764,0,906,0.29372656,0,imagenet_c,zoom_blur,5,none
vit_b_16,ILSVRC2012_val_00031094.JPEG,n01440764,0,749,0.17057148,0,imagenet_c,zoom_blur,5,none
vit_b_16,ILSVRC2012_val_00031333.JPEG,n01440764,0,0,0.7769073,1,imagenet_c,zoom_blur,5,none
vit_b_16,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.8443916,1,imagenet_c,zoom_blur,5,none
vit_b_16,ILSVRC2012_val_00037375.JPEG,n01440764,0,545,0.04437646,0,imagenet_c,zoom_blur,5,none
vit_b_16,ILSVRC2012_val_00037383.JPEG,n01440764,0,359,0.16431294,0,imagenet_c,zoom_blur,5,none
vit_b_16,ILSVRC2012_val_00037596.JPEG,n01440764,0,0,0.81462634,1,imagenet_c,zoom_blur,5,none
vit_b_16,ILSVRC2012_val_00037834.JPEG,n01440764,0,0,0.88270885,1,imagenet_c,zoom_blur,5,none
vit_b_16,ILSVRC2012_val_00037861.JPEG,n01440764,0,0,0.3162184,1,imagenet_c,zoom_blur,5,none
