model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
vit_b_16,ILSVRC2012_val_00000293.JPEG,n01440764,0,149,0.29778478,0,imagenet_c,contrast,3,none
vit_b_16,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.6102434,1,imagenet_c,contrast,3,none
vit_b_16,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.15504093,1,imagenet_c,contrast,3,none
vit_b_16,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.39591518,1,imagenet_c,contrast,3,none
vit_b_16,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.76117396,1,imagenet_c,contrast,3,none
vit_b_16,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.69569916,1,imagenet_c,contrast,3,none
vit_b_16,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.2562607,1,imagenet_c,contrast,3,none
vit_b_16,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.31897867,1,imagenet_c,contrast,3,none
vit_b_16,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.37319943,1,imagenet_c,contrast,3,none
vit_b_16,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.46282375,1,imagenet_c,contrast,3,none
vit_b_16,ILSVRC2012_val_00010306.JPEG,n01440764,0,133,0.21846381,0,imagenet_c,contrast,3,none
vit_b_16,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.22532204,1,imagenet_c,contrast,3,none
vit_b_16,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.6431988,1,imagenet_c,contrast,3,none
vit_b_16,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.3124512,1,imagenet_c,contrast,3,none
vit_b_16,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.55256176,1,imagenet_c,contrast,3,none
vit_b_16,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.5760062,1,imagenet_c,contrast,3,none
vit_b_16,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.7804786,1,imagenet_c,contrast,3,none
vit_b_16,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.5370836,1,imagenet_c,contrast,3,none
vit_b_16,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.58952224,1,imagenet_c,contrast,3,none
vit_b_16,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.64447576,1,imagenet_c,contrast,3,none
vit_b_16,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.30821145,1,imagenet_c,contrast,3,none
vit_b_16,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.6998138,1,imagenet_c,contrast,3,none
vit_b_16,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.5586865,1,imagenet_c,contrast,3,none
vit_b_16,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.03787051,1,imagenet_c,contrast,3,none
vit_b_16,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.76701534,1,imagenet_c,contrast,3,none
vit_b_16,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.38264763,1,imagenet_c,contrast,3,none
vit_b_16,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.3776415,1,imagenet_c,contrast,3,none
vit_b_16,ILSVRC2012_val_00026064.JPEG,n01440764,0,0,0.5414738,1,imagenet_c,contrast,3,none
vit_b_16,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.3847077,1,imagenet_c,contrast,3,none
vit_b_16,ILSVRC2012_val_00028158.JPEG,n01440764,0,0,0.09619205,1,imagenet_c,contrast,3,none
vit_b_16,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.8843649,1,imagenet_c,contrast,3,none
vit_b_16,ILSVRC2012_val_00030740.JPEG,n01440764,0,0,0.32933718,1,imagenet_c,contrast,3,none
vit_b_16,ILSVRC2012_val_00031094.JPEG,n01440764,0,0,0.23554704,1,imagenet_c,contrast,3,none
vit_b_16,ILSVRC2012_val_00031333.JPEG,n01440764,0,0,0.618056,1,imagenet_c,contrast,3,none
vit_b_16,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.41404653,1,imagenet_c,contrast,3,none
vit_b_16,ILSVRC2012_val_00037375.JPEG,n01440764,0,0,0.2288944,1,imagenet_c,contrast,3,none
vit_b_16,ILSVRC2012_val_00037383.JPEG,n01440764,0,0,0.51728666,1,imagenet_c,contrast,3,none
vit_b_16,ILSVRC2012_val_00037596.JPEG,n01440764,0,0,0.6873374,1,imagenet_c,contrast,3,none
vit_b_16,ILSVRC2012_val_00037834.JPEG,n01440764,0,0,0.8473412,1,imagenet_c,contrast,3,none
vit_b_16,ILSVRC2012_val_00037861.JPEG,n01440764,0,0,0.45977905,1,imagenet_c,contrast,3,none
vit_b_16,ILSVRC2012_val_00039905.JPEG,n01440764,0,0,0.5250758,1,imagenet_c,contrast,3,none
vit_b_16,ILSVRC2012_val_00040358.JPEG,n01440764,0,0,0.31762642,1,imagenet_c,contrast,3,none
vit_b_16,ILSVRC2012_val_00040833.JPEG,n01440764,0,0,0.35924566,1,imagenet_c,contrast,3,none
vit_b_16,ILSVRC2012_val_00041939.JPEG,n01440764,0,0,0.7045425,1,imagenet_c,contrast,3,none
vit_b_16,ILSVRC2012_val_00045866.JPEG,n01440764,0,0,0.32715246,1,imagenet_c,contrast,3,none
vit_b_16,ILSVRC2012_val_00045880.JPEG,n01440764,0,0,0.5253227,1,imagenet_c,contrast,3,none
vit_b_16,ILSVRC2012_val_00046252.JPEG,n01440764,0,0,0.8689195,1,imagenet_c,contrast,3,none
vit_b_16,ILSVRC2012_val_00046499.JPEG,n01440764,0,0,0.2616968,1,imagenet_c,contrast,3,none
vit_b_16,ILSVRC2012_val_00048204.JPEG,n01440764,0,0,0.3734432,1,imagenet_c,contrast,3,none
vit_b_16,ILSVRC2012_val_00048969.JPEG,n01440764,0,0,0.32801837,1,imagenet_c,contrast,3,none
vit_b_16,ILSVRC2012_val_00000236.JPEG,n01443537,1,1,0.18003501,1,imagenet_c,contrast,3,none
vit_b_16,ILSVRC2012_val_00000262.JPEG,n01443537,1,5,0.3795588,0,imagenet_c,contrast,3,none
vit_b_16,ILSVRC2012_val_00000307.JPEG,n01443537,1,1,0.37551644,1,imagenet_c,contrast,3,none
vit_b_16,ILSVRC2012_val_00000994.JPEG,n01443537,1,1,0.7815077,1,imagenet_c,contrast,3,none
vit_b_16,ILSVRC2012_val_00002241.JPEG,n01443537,1,111,0.043726165,0,imagenet_c,contrast,3,none
vit_b_16,ILSVRC2012_val_00002848.JPEG,n01443537,1,1,0.7173721,1,imagenet_c,contrast,3,none
vit_b_16,ILSVRC2012_val_00003150.JPEG,n01443537,1,1,0.4595582,1,imagenet_c,contrast,3,none
vit_b_16,ILSVRC2012_val_00003735.JPEG,n01443537,1,1,0.117835775,1,imagenet_c,contrast,3,none
vit_b_16,ILSVRC2012_val_00004655.JPEG,n01443537,1,1,0.39749292,1,imagenet_c,contrast,3,none
vit_b_16,ILSVRC2012_val_00004677.JPEG,n01443537,1,1,0.31814098,1,imagenet_c,contrast,3,none
vit_b_16,ILSVRC2012_val_00005870.JPEG,n01443537,1,719,0.21517572,0,imagenet_c,contrast,3,none
vit_b_16,ILSVRC2012_val_00006007.JPEG,n01443537,1,111,0.69018173,0,imagenet_c,contrast,3,none
vit_b_16,ILSVRC2012_val_00006216.JPEG,n01443537,1,1,0.4107065,1,imagenet_c,contrast,3,none
vit_b_16,ILSVRC2012_val_00009034.JPEG,n01443537,1,1,0.42002285,1,imagenet_c,contrast,3,none
vit_b_16,ILSVRC2012_val_00010363.JPEG,n01443537,1,1,0.6500761,1,imagenet_c,contrast,3,none
vit_b_16,ILSVRC2012_val_00010509.JPEG,n01443537,1,1,0.44682902,1,imagenet_c,contrast,3,none
vit_b_16,ILSVRC2012_val_00011914.JPEG,n01443537,1,1,0.33897898,1,imagenet_c,contrast,3,none
vit_b_16,ILSVRC2012_val_00012880.JPEG,n01443537,1,1,0.6958098,1,imagenet_c,contrast,3,none
vit_b_16,ILSVRC2012_val_00013513.JPEG,n01443537,1,1,0.70963186,1,imagenet_c,contrast,3,none
vit_b_16,ILSVRC2012_val_00013623.JPEG,n01443537,1,1,0.7177915,1,imagenet_c,contrast,3,none
vit_b_16,ILSVRC2012_val_00016962.JPEG,n01443537,1,1,0.22193997,1,imagenet_c,contrast,3,none
