model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
vit_b_16,ILSVRC2012_val_00000293.JPEG,n01440764,0,394,0.8719318,0,imagenet_c,elastic_transform,5,none
vit_b_16,ILSVRC2012_val_00002138.JPEG,n01440764,0,394,0.80053663,0,imagenet_c,elastic_transform,5,none
vit_b_16,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.4356297,1,imagenet_c,elastic_transform,5,none
vit_b_16,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.85707885,1,imagenet_c,elastic_transform,5,none
vit_b_16,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.84568584,1,imagenet_c,elastic_transform,5,none
vit_b_16,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.43323985,1,imagenet_c,elastic_transform,5,none
vit_b_16,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.84287924,1,imagenet_c,elastic_transform,5,none
vit_b_16,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.91868025,1,imagenet_c,elastic_transform,5,none
vit_b_16,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.8733481,1,imagenet_c,elastic_transform,5,none
vit_b_16,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.9024481,1,imagenet_c,elastic_transform,5,none
vit_b_16,ILSVRC2012_val_00010306.JPEG,n01440764,0,996,0.036971398,0,imagenet_c,elastic_transform,5,none
vit_b_16,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.88031936,1,imagenet_c,elastic_transform,5,none
vit_b_16,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.8703246,1,imagenet_c,elastic_transform,5,none
vit_b_16,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.9090383,1,imagenet_c,elastic_transform,5,none
vit_b_16,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.8327811,1,imagenet_c,elastic_transform,5,none
vit_b_16,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.8655911,1,imagenet_c,elastic_transform,5,none
vit_b_16,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.93768877,1,imagenet_c,elastic_transform,5,none
vit_b_16,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.81084174,1,imagenet_c,elastic_transform,5,none
vit_b_16,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.8958447,1,imagenet_c,elastic_transform,5,none
vit_b_16,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.91141695,1,imagenet_c,elastic_transform,5,none
vit_b_16,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.87081265,1,imagenet_c,elastic_transform,5,none
vit_b_16,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.18626373,1,imagenet_c,elastic_transform,5,none
vit_b_16,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.91050625,1,imagenet_c,elastic_transform,5,none
vit_b_16,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.6994441,1,imagenet_c,elastic_transform,5,none
vit_b_16,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.8561935,1,imagenet_c,elastic_transform,5,none
vit_b_16,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.897282,1,imagenet_c,elastic_transform,5,none
vit_b_16,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.7846909,1,imagenet_c,elastic_transform,5,none
vit_b_16,ILSVRC2012_val_00026064.JPEG,n01440764,0,0,0.8270863,1,imagenet_c,elastic_transform,5,none
vit_b_16,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.87852997,1,imagenet_c,elastic_transform,5,none
vit_b_16,ILSVRC2012_val_00028158.JPEG,n01440764,0,0,0.15393546,1,imagenet_c,elastic_transform,5,none
vit_b_16,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.26939598,1,imagenet_c,elastic_transform,5,none
vit_b_16,ILSVRC2012_val_00030740.JPEG,n01440764,0,0,0.859915,1,imagenet_c,elastic_transform,5,none
vit_b_16,ILSVRC2012_val_00031094.JPEG,n01440764,0,0,0.6183111,1,imagenet_c,elastic_transform,5,none
vit_b_16,ILSVRC2012_val_00031333.JPEG,n01440764,0,0,0.7668185,1,imagenet_c,elastic_transform,5,none
vit_b_16,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.90615386,1,imagenet_c,elastic_transform,5,none
vit_b_16,ILSVRC2012_val_00037375.JPEG,n01440764,0,0,0.9137549,1,imagenet_c,elastic_transform,5,none
vit_b_16,ILSVRC2012_val_00037383.JPEG,n01440764,0,329,0.32270506,0,imagenet_c,elastic_transform,5,none
vit_b_16,ILSVRC2012_val_00037596.JPEG,n01440764,0,0,0.7512112,1,imagenet_c,elastic_transform,5,none
vit_b_16,ILSVRC2012_val_00037834.JPEG,n01440764,0,0,0.81672525,1,imagenet_c,elastic_transform,5,none
vit_b_16,ILSVRC2012_val_00037861.JPEG,n01440764,0,0,0.86844194,1,imagenet_c,elastic_transform,5,none
vit_b_16,ILSVRC2012_val_00039905.JPEG,n01440764,0,0,0.9011256,1,imagenet_c,elastic_transform,5,none
vit_b_16,ILSVRC2012_val_00040358.JPEG,n01440764,0,0,0.88322306,1,imagenet_c,elastic_transform,5,none
vit_b_16,ILSVRC2012_val_00040833.JPEG,n01440764,0,0,0.86210126,1,imagenet_c,elastic_transform,5,none
