model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
vit_b_16,ILSVRC2012_val_00000293.JPEG,n01440764,0,0,0.6950289,1,imagenet_c,jpeg_compression,3,none
vit_b_16,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.8857371,1,imagenet_c,jpeg_compression,3,none
vit_b_16,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.78316236,1,imagenet_c,jpeg_compression,3,none
vit_b_16,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.8561291,1,imagenet_c,jpeg_compression,3,none
vit_b_16,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.8464426,1,imagenet_c,jpeg_compression,3,none
vit_b_16,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.8669377,1,imagenet_c,jpeg_compression,3,none
vit_b_16,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.8875739,1,imagenet_c,jpeg_compression,3,none
vit_b_16,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.86074036,1,imagenet_c,jpeg_compression,3,none
vit_b_16,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.8029874,1,imagenet_c,jpeg_compression,3,none
vit_b_16,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.8644451,1,imagenet_c,jpeg_compression,3,none
vit_b_16,ILSVRC2012_val_00010306.JPEG,n01440764,0,133,0.36173052,0,imagenet_c,jpeg_compression,3,none
vit_b_16,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.87355083,1,imagenet_c,jpeg_compression,3,none
vit_b_16,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.8252308,1,imagenet_c,jpeg_compression,3,none
vit_b_16,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.8902161,1,imagenet_c,jpeg_compression,3,none
vit_b_16,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.8766392,1,imagenet_c,jpeg_compression,3,none
vit_b_16,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.8996126,1,imagenet_c,jpeg_compression,3,none
vit_b_16,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.8900629,1,imagenet_c,jpeg_compression,3,none
vit_b_16,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.8103925,1,imagenet_c,jpeg_compression,3,none
vit_b_16,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.88214976,1,imagenet_c,jpeg_compression,3,none
vit_b_16,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.8925295,1,imagenet_c,jpeg_compression,3,none
vit_b_16,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.8069352,1,imagenet_c,jpeg_compression,3,none
vit_b_16,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.87507117,1,imagenet_c,jpeg_compression,3,none
vit_b_16,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.885414,1,imagenet_c,jpeg_compression,3,none
vit_b_16,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.86954105,1,imagenet_c,jpeg_compression,3,none
vit_b_16,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.8905552,1,imagenet_c,jpeg_compression,3,none
vit_b_16,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.88924074,1,imagenet_c,jpeg_compression,3,none
vit_b_16,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.85107034,1,imagenet_c,jpeg_compression,3,none
vit_b_16,ILSVRC2012_val_00026064.JPEG,n01440764,0,0,0.8742286,1,imagenet_c,jpeg_compression,3,none
vit_b_16,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.8528098,1,imagenet_c,jpeg_compression,3,none
vit_b_16,ILSVRC2012_val_00028158.JPEG,n01440764,0,0,0.74736774,1,imagenet_c,jpeg_compression,3,none
vit_b_16,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.86408925,1,imagenet_c,jpeg_compression,3,none
vit_b_16,ILSVRC2012_val_00030740.JPEG,n01440764,0,0,0.84884465,1,imagenet_c,jpeg_compression,3,none
vit_b_16,ILSVRC2012_val_00031094.JPEG,n01440764,0,0,0.836068,1,imagenet_c,jpeg_compression,3,none
vit_b_16,ILSVRC2012_val_00031333.JPEG,n01440764,0,0,0.8111102,1,imagenet_c,jpeg_compression,3,none
vit_b_16,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.89228207,1,imagenet_c,jpeg_compression,3,none
