model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
vit_b_16,ILSVRC2012_val_00000293.JPEG,n01440764,0,394,0.4746414,0,imagenet_c,pixelate,4,none
vit_b_16,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.83990186,1,imagenet_c,pixelate,4,none
vit_b_16,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.24876936,1,imagenet_c,pixelate,4,none
vit_b_16,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.8128228,1,imagenet_c,pixelate,4,none
vit_b_16,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.78900766,1,imagenet_c,pixelate,4,none
vit_b_16,ILSVRC2012_val_00009111.JPEG,n01440764,0,694,0.24361418,0,imagenet_c,pixelate,4,none
vit_b_16,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.84889424,1,imagenet_c,pixelate,4,none
vit_b_16,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.8009906,1,imagenet_c,pixelate,4,none
vit_b_16,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.8591322,1,imagenet_c,pixelate,4,none
vit_b_16,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.8559006,1,imagenet_c,pixelate,4,none
vit_b_16,ILSVRC2012_val_00010306.JPEG,n01440764,0,128,0.22851583,0,imagenet_c,pixelate,4,none
vit_b_16,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.83511245,1,imagenet_c,pixelate,4,none
vit_b_16,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.8314571,1,imagenet_c,pixelate,4,none
vit_b_16,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.89008737,1,imagenet_c,pixelate,4,none
vit_b_16,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.83051234,1,imagenet_c,pixelate,4,none
vit_b_16,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.81384027,1,imagenet_c,pixelate,4,none
vit_b_16,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.89200354,1,imagenet_c,pixelate,4,none
vit_b_16,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.8360556,1,imagenet_c,pixelate,4,none
vit_b_16,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.81918144,1,imagenet_c,pixelate,4,none
vit_b_16,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.9052197,1,imagenet_c,pixelate,4,none
vit_b_16,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.8757895,1,imagenet_c,pixelate,4,none
vit_b_16,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.8343143,1,imagenet_c,pixelate,4,none
vit_b_16,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.8854485,1,imagenet_c,pixelate,4,none
vit_b_16,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.84465003,1,imagenet_c,pixelate,4,none
vit_b_16,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.84175324,1,imagenet_c,pixelate,4,none
vit_b_16,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.9049146,1,imagenet_c,pixelate,4,none
vit_b_16,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.81442314,1,imagenet_c,pixelate,4,none
vit_b_16,ILSVRC2012_val_00026064.JPEG,n01440764,0,0,0.66513824,1,imagenet_c,pixelate,4,none
vit_b_16,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.87740564,1,imagenet_c,pixelate,4,none
vit_b_16,ILSVRC2012_val_00028158.JPEG,n01440764,0,0,0.1546179,1,imagenet_c,pixelate,4,none
vit_b_16,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.6953753,1,imagenet_c,pixelate,4,none
vit_b_16,ILSVRC2012_val_00030740.JPEG,n01440764,0,0,0.8692094,1,imagenet_c,pixelate,4,none
vit_b_16,ILSVRC2012_val_00031094.JPEG,n01440764,0,0,0.46056026,1,imagenet_c,pixelate,4,none
vit_b_16,ILSVRC2012_val_00031333.JPEG,n01440764,0,0,0.82460123,1,imagenet_c,pixelate,4,none
vit_b_16,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.8764912,1,imagenet_c,pixelate,4,none
vit_b_16,ILSVRC2012_val_00037375.JPEG,n01440764,0,0,0.4516702,1,imagenet_c,pixelate,4,none
vit_b_16,ILSVRC2012_val_00037383.JPEG,n01440764,0,0,0.8886724,1,imagenet_c,pixelate,4,none
vit_b_16,ILSVRC2012_val_00037596.JPEG,n01440764,0,0,0.8771929,1,imagenet_c,pixelate,4,none
vit_b_16,ILSVRC2012_val_00037834.JPEG,n01440764,0,0,0.86783385,1,imagenet_c,pixelate,4,none
vit_b_16,ILSVRC2012_val_00037861.JPEG,n01440764,0,0,0.84330195,1,imagenet_c,pixelate,4,none
