model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
vit_b_16,ILSVRC2012_val_00000293.JPEG,n01440764,0,394,0.78929937,0,imagenet_c,glass_blur,3,none
vit_b_16,ILSVRC2012_val_00002138.JPEG,n01440764,0,356,0.59820974,0,imagenet_c,glass_blur,3,none
vit_b_16,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.063505486,1,imagenet_c,glass_blur,3,none
vit_b_16,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.9296855,1,imagenet_c,glass_blur,3,none
vit_b_16,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.43970668,1,imagenet_c,glass_blur,3,none
vit_b_16,ILSVRC2012_val_00009111.JPEG,n01440764,0,329,0.35269833,0,imagenet_c,glass_blur,3,none
vit_b_16,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.85114425,1,imagenet_c,glass_blur,3,none
vit_b_16,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.78059274,1,imagenet_c,glass_blur,3,none
vit_b_16,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.87812495,1,imagenet_c,glass_blur,3,none
vit_b_16,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.8458548,1,imagenet_c,glass_blur,3,none
vit_b_16,ILSVRC2012_val_00010306.JPEG,n01440764,0,356,0.17205484,0,imagenet_c,glass_blur,3,none
vit_b_16,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.88539916,1,imagenet_c,glass_blur,3,none
vit_b_16,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.8810711,1,imagenet_c,glass_blur,3,none
vit_b_16,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.87841403,1,imagenet_c,glass_blur,3,none
vit_b_16,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.89833134,1,imagenet_c,glass_blur,3,none
vit_b_16,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.9038257,1,imagenet_c,glass_blur,3,none
vit_b_16,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.8761923,1,imagenet_c,glass_blur,3,none
