model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
vit_b_16,ILSVRC2012_val_00000293.JPEG,n01440764,0,0,0.43039337,1,imagenet_c,motion_blur,1,none
vit_b_16,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.88962615,1,imagenet_c,motion_blur,1,none
vit_b_16,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.49934438,1,imagenet_c,motion_blur,1,none
vit_b_16,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.88806015,1,imagenet_c,motion_blur,1,none
vit_b_16,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.8262011,1,imagenet_c,motion_blur,1,none
vit_b_16,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.9082021,1,imagenet_c,motion_blur,1,none
vit_b_16,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.86440074,1,imagenet_c,motion_blur,1,none
vit_b_16,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.8876257,1,imagenet_c,motion_blur,1,none
vit_b_16,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.8861459,1,imagenet_c,motion_blur,1,none
vit_b_16,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.8749879,1,imagenet_c,motion_blur,1,none
vit_b_16,ILSVRC2012_val_00010306.JPEG,n01440764,0,133,0.5126005,0,imagenet_c,motion_blur,1,none
vit_b_16,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.87295574,1,imagenet_c,motion_blur,1,none
vit_b_16,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.8816295,1,imagenet_c,motion_blur,1,none
vit_b_16,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.9226731,1,imagenet_c,motion_blur,1,none
vit_b_16,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.87628335,1,imagenet_c,motion_blur,1,none
vit_b_16,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.86950004,1,imagenet_c,motion_blur,1,none
vit_b_16,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.90086865,1,imagenet_c,motion_blur,1,none
vit_b_16,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.84849375,1,imagenet_c,motion_blur,1,none
vit_b_16,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.88001764,1,imagenet_c,motion_blur,1,none
vit_b_16,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.8943321,1,imagenet_c,motion_blur,1,none
vit_b_16,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.8497229,1,imagenet_c,motion_blur,1,none
