model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
vit_b_16,ILSVRC2012_val_00000293.JPEG,n01440764,0,390,0.6189146,0,imagenet_c,gaussian_noise,2,none
vit_b_16,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.83979034,1,imagenet_c,gaussian_noise,2,none
vit_b_16,ILSVRC2012_val_00003014.JPEG,n01440764,0,693,0.18413223,0,imagenet_c,gaussian_noise,2,none
vit_b_16,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.72603744,1,imagenet_c,gaussian_noise,2,none
vit_b_16,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.71931595,1,imagenet_c,gaussian_noise,2,none
vit_b_16,ILSVRC2012_val_00009111.JPEG,n01440764,0,764,0.09146404,0,imagenet_c,gaussian_noise,2,none
vit_b_16,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.8169298,1,imagenet_c,gaussian_noise,2,none
vit_b_16,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.8368429,1,imagenet_c,gaussian_noise,2,none
vit_b_16,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.7787883,1,imagenet_c,gaussian_noise,2,none
vit_b_16,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.8099667,1,imagenet_c,gaussian_noise,2,none
vit_b_16,ILSVRC2012_val_00010306.JPEG,n01440764,0,144,0.41925925,0,imagenet_c,gaussian_noise,2,none
vit_b_16,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.7177643,1,imagenet_c,gaussian_noise,2,none
vit_b_16,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.7539621,1,imagenet_c,gaussian_noise,2,none
vit_b_16,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.8404302,1,imagenet_c,gaussian_noise,2,none
vit_b_16,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.84103245,1,imagenet_c,gaussian_noise,2,none
vit_b_16,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.74332035,1,imagenet_c,gaussian_noise,2,none
vit_b_16,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.8571225,1,imagenet_c,gaussian_noise,2,none
