model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
vit_b_16,ILSVRC2012_val_00000293.JPEG,n01440764,0,394,0.31932437,0,imagenet_c,impulse_noise,2,none
vit_b_16,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.7715606,1,imagenet_c,impulse_noise,2,none
vit_b_16,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.3314041,1,imagenet_c,impulse_noise,2,none
vit_b_16,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.73010683,1,imagenet_c,impulse_noise,2,none
vit_b_16,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.72717905,1,imagenet_c,impulse_noise,2,none
vit_b_16,ILSVRC2012_val_00009111.JPEG,n01440764,0,764,0.32781875,0,imagenet_c,impulse_noise,2,none
vit_b_16,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.759406,1,imagenet_c,impulse_noise,2,none
vit_b_16,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.8100083,1,imagenet_c,impulse_noise,2,none
vit_b_16,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.7625828,1,imagenet_c,impulse_noise,2,none
vit_b_16,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.8033332,1,imagenet_c,impulse_noise,2,none
vit_b_16,ILSVRC2012_val_00010306.JPEG,n01440764,0,133,0.45321494,0,imagenet_c,impulse_noise,2,none
vit_b_16,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.67080915,1,imagenet_c,impulse_noise,2,none
vit_b_16,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.7196477,1,imagenet_c,impulse_noise,2,none
vit_b_16,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.8411168,1,imagenet_c,impulse_noise,2,none
vit_b_16,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.7933992,1,imagenet_c,impulse_noise,2,none
vit_b_16,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.73311037,1,imagenet_c,impulse_noise,2,none
vit_b_16,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.7594476,1,imagenet_c,impulse_noise,2,none
vit_b_16,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.77925277,1,imagenet_c,impulse_noise,2,none
vit_b_16,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.78844917,1,imagenet_c,impulse_noise,2,none
vit_b_16,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.8437662,1,imagenet_c,impulse_noise,2,none
vit_b_16,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.7811899,1,imagenet_c,impulse_noise,2,none
vit_b_16,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.76902753,1,imagenet_c,impulse_noise,2,none
vit_b_16,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.67235667,1,imagenet_c,impulse_noise,2,none
vit_b_16,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.7291068,1,imagenet_c,impulse_noise,2,none
vit_b_16,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.76183206,1,imagenet_c,impulse_noise,2,none
vit_b_16,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.8708319,1,imagenet_c,impulse_noise,2,none
vit_b_16,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.7234323,1,imagenet_c,impulse_noise,2,none
vit_b_16,ILSVRC2012_val_00026064.JPEG,n01440764,0,0,0.5671964,1,imagenet_c,impulse_noise,2,none
vit_b_16,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.83871293,1,imagenet_c,impulse_noise,2,none
vit_b_16,ILSVRC2012_val_00028158.JPEG,n01440764,0,103,0.68672687,0,imagenet_c,impulse_noise,2,none
vit_b_16,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.8227973,1,imagenet_c,impulse_noise,2,none
vit_b_16,ILSVRC2012_val_00030740.JPEG,n01440764,0,0,0.8179388,1,imagenet_c,impulse_noise,2,none
vit_b_16,ILSVRC2012_val_00031094.JPEG,n01440764,0,0,0.5572377,1,imagenet_c,impulse_noise,2,none
vit_b_16,ILSVRC2012_val_00031333.JPEG,n01440764,0,0,0.7851971,1,imagenet_c,impulse_noise,2,none
vit_b_16,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.8159626,1,imagenet_c,impulse_noise,2,none
vit_b_16,ILSVRC2012_val_00037375.JPEG,n01440764,0,389,0.38591313,0,imagenet_c,impulse_noise,2,none
vit_b_16,ILSVRC2012_val_00037383.JPEG,n01440764,0,0,0.7691301,1,imagenet_c,impulse_noise,2,none
vit_b_16,ILSVRC2012_val_00037596.JPEG,n01440764,0,0,0.77322745,1,imagenet_c,impulse_noise,2,none
vit_b_16,ILSVRC2012_val_00037834.JPEG,n01440764,0,0,0.80293554,1,imagenet_c,impulse_noise,2,none
vit_b_16,ILSVRC2012_val_00037861.JPEG,n01440764,0,0,0.7792083,1,imagenet_c,impulse_noise,2,none
vit_b_16,ILSVRC2012_val_00039905.JPEG,n01440764,0,0,0.87042284,1,imagenet_c,impulse_noise,2,none
vit_b_16,ILSVRC2012_val_00040358.JPEG,n01440764,0,0,0.8484762,1,imagenet_c,impulse_noise,2,none
vit_b_16,ILSVRC2012_val_00040833.JPEG,n01440764,0,0,0.7006132,1,imagenet_c,impulse_noise,2,none
vit_b_16,ILSVRC2012_val_00041939.JPEG,n01440764,0,0,0.76754963,1,imagenet_c,impulse_noise,2,none
vit_b_16,ILSVRC2012_val_00045866.JPEG,n01440764,0,0,0.75152665,1,imagenet_c,impulse_noise,2,none
vit_b_16,ILSVRC2012_val_00045880.JPEG,n01440764,0,0,0.7076438,1,imagenet_c,impulse_noise,2,none
vit_b_16,ILSVRC2012_val_00046252.JPEG,n01440764,0,0,0.7904811,1,imagenet_c,impulse_noise,2,none
vit_b_16,ILSVRC2012_val_00046499.JPEG,n01440764,0,0,0.7803554,1,imagenet_c,impulse_noise,2,none
vit_b_16,ILSVRC2012_val_00048204.JPEG,n01440764,0,0,0.7911558,1,imagenet_c,impulse_noise,2,none
vit_b_16,ILSVRC2012_val_00048969.JPEG,n01440764,0,0,0.6765076,1,imagenet_c,impulse_noise,2,none
vit_b_16,ILSVRC2012_val_00000236.JPEG,n01443537,1,29,0.50146955,0,imagenet_c,impulse_noise,2,none
vit_b_16,ILSVRC2012_val_00000262.JPEG,n01443537,1,1,0.31432417,1,imagenet_c,impulse_noise,2,none
vit_b_16,ILSVRC2012_val_00000307.JPEG,n01443537,1,1,0.84451467,1,imagenet_c,impulse_noise,2,none
vit_b_16,ILSVRC2012_val_00000994.JPEG,n01443537,1,1,0.864859,1,imagenet_c,impulse_noise,2,none
vit_b_16,ILSVRC2012_val_00002241.JPEG,n01443537,1,314,0.056597453,0,imagenet_c,impulse_noise,2,none
vit_b_16,ILSVRC2012_val_00002848.JPEG,n01443537,1,1,0.8911569,1,imagenet_c,impulse_noise,2,none
vit_b_16,ILSVRC2012_val_00003150.JPEG,n01443537,1,1,0.6556459,1,imagenet_c,impulse_noise,2,none
vit_b_16,ILSVRC2012_val_00003735.JPEG,n01443537,1,1,0.8149371,1,imagenet_c,impulse_noise,2,none
vit_b_16,ILSVRC2012_val_00004655.JPEG,n01443537,1,1,0.7130686,1,imagenet_c,impulse_noise,2,none
vit_b_16,ILSVRC2012_val_00004677.JPEG,n01443537,1,1,0.7927546,1,imagenet_c,impulse_noise,2,none
vit_b_16,ILSVRC2012_val_00005870.JPEG,n01443537,1,122,0.20825648,0,imagenet_c,impulse_noise,2,none
vit_b_16,ILSVRC2012_val_00006007.JPEG,n01443537,1,629,0.3786694,0,imagenet_c,impulse_noise,2,none
vit_b_16,ILSVRC2012_val_00006216.JPEG,n01443537,1,1,0.7489548,1,imagenet_c,impulse_noise,2,none
vit_b_16,ILSVRC2012_val_00009034.JPEG,n01443537,1,1,0.8982808,1,imagenet_c,impulse_noise,2,none
