model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
vit_b_16,ILSVRC2012_val_00000293.JPEG,n01440764,0,21,0.06518343,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00002138.JPEG,n01440764,0,389,0.7838828,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00003014.JPEG,n01440764,0,758,0.57582843,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.4031335,1,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.25732273,1,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00009111.JPEG,n01440764,0,75,0.3629446,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.2013795,1,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00009346.JPEG,n01440764,0,21,0.047321085,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.40470126,1,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.58027333,1,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00010306.JPEG,n01440764,0,395,0.2733794,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.5134915,1,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.15811883,1,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.74694014,1,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.13008219,1,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.2705264,1,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00017472.JPEG,n01440764,0,608,0.5413193,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.50107294,1,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.7183767,1,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.6975709,1,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00018317.JPEG,n01440764,0,376,0.29332906,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00021740.JPEG,n01440764,0,474,0.10433162,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00023559.JPEG,n01440764,0,103,0.32843935,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.47704166,1,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.7832383,1,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.73046964,1,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00025527.JPEG,n01440764,0,314,0.32253867,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00026064.JPEG,n01440764,0,658,0.12113001,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.47333193,1,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00028158.JPEG,n01440764,0,21,0.06870899,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00029930.JPEG,n01440764,0,103,0.1951466,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00030740.JPEG,n01440764,0,650,0.053355563,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00031094.JPEG,n01440764,0,645,0.129296,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00031333.JPEG,n01440764,0,21,0.09757136,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00034654.JPEG,n01440764,0,739,0.19767223,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00037375.JPEG,n01440764,0,896,0.22960371,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00037383.JPEG,n01440764,0,932,0.051292546,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00037596.JPEG,n01440764,0,389,0.28939462,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00037834.JPEG,n01440764,0,103,0.54083836,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00037861.JPEG,n01440764,0,0,0.66122645,1,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00039905.JPEG,n01440764,0,0,0.8170363,1,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00040358.JPEG,n01440764,0,0,0.74941957,1,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00040833.JPEG,n01440764,0,0,0.4014519,1,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00041939.JPEG,n01440764,0,0,0.4116892,1,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00045866.JPEG,n01440764,0,0,0.54582924,1,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00045880.JPEG,n01440764,0,389,0.20546958,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00046252.JPEG,n01440764,0,111,0.16749851,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00046499.JPEG,n01440764,0,0,0.41177905,1,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00048204.JPEG,n01440764,0,0,0.6053233,1,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00048969.JPEG,n01440764,0,0,0.27536172,1,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00000236.JPEG,n01443537,1,107,0.8082076,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00000262.JPEG,n01443537,1,395,0.34766722,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00000307.JPEG,n01443537,1,23,0.037783194,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00000994.JPEG,n01443537,1,1,0.41833353,1,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00002241.JPEG,n01443537,1,103,0.041484106,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00002848.JPEG,n01443537,1,107,0.3827636,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00003150.JPEG,n01443537,1,107,0.09855595,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00003735.JPEG,n01443537,1,107,0.103030205,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00004655.JPEG,n01443537,1,107,0.2196691,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00004677.JPEG,n01443537,1,1,0.113722496,1,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00005870.JPEG,n01443537,1,107,0.35143927,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00006007.JPEG,n01443537,1,111,0.37341776,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00006216.JPEG,n01443537,1,1,0.43712854,1,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00009034.JPEG,n01443537,1,1,0.7168063,1,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00010363.JPEG,n01443537,1,21,0.0750556,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00010509.JPEG,n01443537,1,143,0.06367899,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00011914.JPEG,n01443537,1,361,0.122975476,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00012880.JPEG,n01443537,1,403,0.3940251,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00013513.JPEG,n01443537,1,1,0.24703014,1,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00013623.JPEG,n01443537,1,1,0.85278237,1,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00016962.JPEG,n01443537,1,107,0.23865677,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00018075.JPEG,n01443537,1,1,0.68873614,1,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00019459.JPEG,n01443537,1,21,0.080466576,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00020436.JPEG,n01443537,1,4,0.34240746,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00020785.JPEG,n01443537,1,4,0.05537903,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00020822.JPEG,n01443537,1,1,0.77224845,1,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00021905.JPEG,n01443537,1,1,0.72629493,1,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00022138.JPEG,n01443537,1,1,0.16689262,1,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00023869.JPEG,n01443537,1,607,0.17697392,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00028713.JPEG,n01443537,1,1,0.07457449,1,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00030060.JPEG,n01443537,1,4,0.18859199,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00030217.JPEG,n01443537,1,1,0.44782436,1,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00031138.JPEG,n01443537,1,78,0.06903165,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00032235.JPEG,n01443537,1,21,0.05451567,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00032258.JPEG,n01443537,1,327,0.25717163,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00032675.JPEG,n01443537,1,4,0.5199855,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00034386.JPEG,n01443537,1,21,0.09633692,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00037846.JPEG,n01443537,1,1,0.63653654,1,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00038057.JPEG,n01443537,1,15,0.21345071,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00044095.JPEG,n01443537,1,1,0.7238245,1,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00045761.JPEG,n01443537,1,21,0.14209452,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00046915.JPEG,n01443537,1,70,0.1796836,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00046969.JPEG,n01443537,1,21,0.16340485,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00047396.JPEG,n01443537,1,1,0.538658,1,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00047561.JPEG,n01443537,1,1,0.1026405,1,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00048840.JPEG,n01443537,1,107,0.44609734,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00048864.JPEG,n01443537,1,990,0.47867194,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00049585.JPEG,n01443537,1,111,0.2091155,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00049617.JPEG,n01443537,1,1,0.43419215,1,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00049712.JPEG,n01443537,1,107,0.7094384,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00002338.JPEG,n01484850,2,3,0.35166323,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00002752.JPEG,n01484850,2,2,0.38266924,1,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00004311.JPEG,n01484850,2,111,0.04678168,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00004329.JPEG,n01484850,2,2,0.41657242,1,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00006491.JPEG,n01484850,2,147,0.2116115,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00008848.JPEG,n01484850,2,65,0.20991433,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00014467.JPEG,n01484850,2,78,0.14375624,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00015157.JPEG,n01484850,2,147,0.2394692,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00015220.JPEG,n01484850,2,3,0.14158808,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00016168.JPEG,n01484850,2,2,0.68157244,1,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00016859.JPEG,n01484850,2,2,0.63489485,1,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00016988.JPEG,n01484850,2,33,0.11480881,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00017105.JPEG,n01484850,2,2,0.25566828,1,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00017194.JPEG,n01484850,2,2,0.8333025,1,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00019409.JPEG,n01484850,2,885,0.08325986,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00019435.JPEG,n01484850,2,2,0.23965512,1,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00020011.JPEG,n01484850,2,2,0.17053372,1,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00023185.JPEG,n01484850,2,3,0.3877235,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00024940.JPEG,n01484850,2,111,0.55323654,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00025900.JPEG,n01484850,2,33,0.18095069,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00027063.JPEG,n01484850,2,980,0.03844027,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00027419.JPEG,n01484850,2,21,0.09648203,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00027514.JPEG,n01484850,2,4,0.26015913,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00028028.JPEG,n01484850,2,107,0.12690453,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00029481.JPEG,n01484850,2,111,0.33679208,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00030127.JPEG,n01484850,2,2,0.19151433,1,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00031466.JPEG,n01484850,2,2,0.63794976,1,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00031720.JPEG,n01484850,2,4,0.30700874,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00031808.JPEG,n01484850,2,429,0.22360581,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00032288.JPEG,n01484850,2,4,0.18956803,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00032417.JPEG,n01484850,2,3,0.51255685,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00034950.JPEG,n01484850,2,147,0.092159934,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00035223.JPEG,n01484850,2,549,0.12233422,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00035774.JPEG,n01484850,2,3,0.23821642,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00036737.JPEG,n01484850,2,107,0.2924119,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00037050.JPEG,n01484850,2,103,0.34470078,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00037135.JPEG,n01484850,2,2,0.6755511,1,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00037488.JPEG,n01484850,2,111,0.43345076,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00037998.JPEG,n01484850,2,2,0.5161397,1,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00039304.JPEG,n01484850,2,21,0.17521542,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00039445.JPEG,n01484850,2,103,0.35949862,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00039534.JPEG,n01484850,2,33,0.15213883,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00039865.JPEG,n01484850,2,2,0.25005803,1,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00040098.JPEG,n01484850,2,3,0.115198635,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00040710.JPEG,n01484850,2,128,0.07911368,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00042345.JPEG,n01484850,2,4,0.18020988,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00044052.JPEG,n01484850,2,4,0.73286504,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00044896.JPEG,n01484850,2,21,0.06567721,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00045730.JPEG,n01484850,2,111,0.23395558,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00046171.JPEG,n01484850,2,4,0.24744976,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00002922.JPEG,n01491361,3,107,0.547648,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00002969.JPEG,n01491361,3,6,0.19513488,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00003183.JPEG,n01491361,3,3,0.42744395,1,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00003204.JPEG,n01491361,3,3,0.49629205,1,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00007743.JPEG,n01491361,3,3,0.79642683,1,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00007875.JPEG,n01491361,3,4,0.13249719,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00008024.JPEG,n01491361,3,3,0.5970798,1,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00008108.JPEG,n01491361,3,107,0.5556147,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00010074.JPEG,n01491361,3,983,0.6214333,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00012328.JPEG,n01491361,3,3,0.12091379,1,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00013484.JPEG,n01491361,3,4,0.4407047,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00013628.JPEG,n01491361,3,4,0.30684695,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00015631.JPEG,n01491361,3,3,0.4263452,1,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00018466.JPEG,n01491361,3,5,0.7017189,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00019424.JPEG,n01491361,3,149,0.19427957,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00023443.JPEG,n01491361,3,2,0.4322018,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00023935.JPEG,n01491361,3,107,0.49543175,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00024854.JPEG,n01491361,3,4,0.33519268,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00024895.JPEG,n01491361,3,3,0.5899412,1,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00025133.JPEG,n01491361,3,4,0.5220572,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00025137.JPEG,n01491361,3,435,0.17445417,0,imagenet_c,shot_noise,5,none
vit_b_16,ILSVRC2012_val_00025640.JPEG,n01491361,3,3,0.116179414,1,imagenet_c,shot_noise,5,none
