model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
vit_b_16,ILSVRC2012_val_00000293.JPEG,n01440764,0,0,0.17836714,1,imagenet_c,zoom_blur,3,none
vit_b_16,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.7850446,1,imagenet_c,zoom_blur,3,none
vit_b_16,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.3025416,1,imagenet_c,zoom_blur,3,none
vit_b_16,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.90014976,1,imagenet_c,zoom_blur,3,none
vit_b_16,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.41658673,1,imagenet_c,zoom_blur,3,none
vit_b_16,ILSVRC2012_val_00009111.JPEG,n01440764,0,328,0.058569103,0,imagenet_c,zoom_blur,3,none
vit_b_16,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.770069,1,imagenet_c,zoom_blur,3,none
vit_b_16,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.85741585,1,imagenet_c,zoom_blur,3,none
vit_b_16,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.90946954,1,imagenet_c,zoom_blur,3,none
vit_b_16,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.8974884,1,imagenet_c,zoom_blur,3,none
vit_b_16,ILSVRC2012_val_00010306.JPEG,n01440764,0,133,0.16342096,0,imagenet_c,zoom_blur,3,none
vit_b_16,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.85944897,1,imagenet_c,zoom_blur,3,none
vit_b_16,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.863491,1,imagenet_c,zoom_blur,3,none
vit_b_16,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.78324974,1,imagenet_c,zoom_blur,3,none
vit_b_16,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.9007922,1,imagenet_c,zoom_blur,3,none
vit_b_16,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.84035593,1,imagenet_c,zoom_blur,3,none
vit_b_16,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.8742867,1,imagenet_c,zoom_blur,3,none
vit_b_16,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.7040845,1,imagenet_c,zoom_blur,3,none
vit_b_16,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.8624844,1,imagenet_c,zoom_blur,3,none
vit_b_16,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.91070414,1,imagenet_c,zoom_blur,3,none
vit_b_16,ILSVRC2012_val_00018317.JPEG,n01440764,0,671,0.46974728,0,imagenet_c,zoom_blur,3,none
vit_b_16,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.38595164,1,imagenet_c,zoom_blur,3,none
vit_b_16,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.85090345,1,imagenet_c,zoom_blur,3,none
vit_b_16,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.8449747,1,imagenet_c,zoom_blur,3,none
vit_b_16,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.8794897,1,imagenet_c,zoom_blur,3,none
vit_b_16,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.87106496,1,imagenet_c,zoom_blur,3,none
vit_b_16,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.7871138,1,imagenet_c,zoom_blur,3,none
vit_b_16,ILSVRC2012_val_00026064.JPEG,n01440764,0,0,0.53284705,1,imagenet_c,zoom_blur,3,none
vit_b_16,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.7754132,1,imagenet_c,zoom_blur,3,none
vit_b_16,ILSVRC2012_val_00028158.JPEG,n01440764,0,879,0.051051233,0,imagenet_c,zoom_blur,3,none
vit_b_16,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.86584085,1,imagenet_c,zoom_blur,3,none
