model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
vit_h_14,ILSVRC2012_val_00000293.JPEG,n01440764,0,0,0.88421583,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.9714172,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.9953778,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.9799541,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.98793006,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.9702468,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.9951662,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.9401499,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.92556405,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.9795928,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00010306.JPEG,n01440764,0,133,0.9865565,0,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.99437475,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.95113045,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.99435437,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.9315531,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.99261075,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.94400895,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.92951626,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.99256295,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.9934918,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.96905655,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.9889529,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.98770905,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.9965737,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.9943613,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.9555104,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.95391834,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00026064.JPEG,n01440764,0,0,0.9674973,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.9871809,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00028158.JPEG,n01440764,0,0,0.9933114,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.98931867,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00030740.JPEG,n01440764,0,0,0.99165416,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00031094.JPEG,n01440764,0,0,0.9815507,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00031333.JPEG,n01440764,0,0,0.97138166,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.9803842,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00037375.JPEG,n01440764,0,758,0.7690713,0,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00037383.JPEG,n01440764,0,0,0.9882449,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00037596.JPEG,n01440764,0,0,0.9586942,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00037834.JPEG,n01440764,0,0,0.9950112,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00037861.JPEG,n01440764,0,0,0.9619628,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00039905.JPEG,n01440764,0,0,0.9883455,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00040358.JPEG,n01440764,0,0,0.99453175,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00040833.JPEG,n01440764,0,0,0.9831845,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00041939.JPEG,n01440764,0,0,0.8788197,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00045866.JPEG,n01440764,0,0,0.9384416,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00045880.JPEG,n01440764,0,0,0.91784245,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00046252.JPEG,n01440764,0,0,0.9776719,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00046499.JPEG,n01440764,0,0,0.97447383,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00048204.JPEG,n01440764,0,0,0.96591073,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00048969.JPEG,n01440764,0,0,0.9702495,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00000236.JPEG,n01443537,1,1,0.99334633,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00000262.JPEG,n01443537,1,1,0.994265,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00000307.JPEG,n01443537,1,1,0.98493284,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00000994.JPEG,n01443537,1,1,0.9868139,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00002241.JPEG,n01443537,1,1,0.8366542,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00002848.JPEG,n01443537,1,1,0.9979803,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00003150.JPEG,n01443537,1,1,0.9924603,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00003735.JPEG,n01443537,1,1,0.994068,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00004655.JPEG,n01443537,1,1,0.99668485,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00004677.JPEG,n01443537,1,1,0.9601275,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00005870.JPEG,n01443537,1,1,0.98255837,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00006007.JPEG,n01443537,1,1,0.99370676,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00006216.JPEG,n01443537,1,1,0.95638525,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00009034.JPEG,n01443537,1,1,0.9963238,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00010363.JPEG,n01443537,1,1,0.948435,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00010509.JPEG,n01443537,1,1,0.9817691,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00011914.JPEG,n01443537,1,1,0.9343478,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00012880.JPEG,n01443537,1,1,0.91876084,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00013513.JPEG,n01443537,1,1,0.9726977,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00013623.JPEG,n01443537,1,1,0.9899155,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00016962.JPEG,n01443537,1,1,0.9787082,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00018075.JPEG,n01443537,1,1,0.995226,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00019459.JPEG,n01443537,1,1,0.9865154,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00020436.JPEG,n01443537,1,1,0.99437743,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00020785.JPEG,n01443537,1,1,0.95980465,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00020822.JPEG,n01443537,1,1,0.9711883,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00021905.JPEG,n01443537,1,1,0.99399465,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00022138.JPEG,n01443537,1,1,0.91649216,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00023869.JPEG,n01443537,1,1,0.9948251,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00028713.JPEG,n01443537,1,1,0.984991,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00030060.JPEG,n01443537,1,1,0.99637824,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00030217.JPEG,n01443537,1,1,0.9930789,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00031138.JPEG,n01443537,1,1,0.9862006,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00032235.JPEG,n01443537,1,1,0.9961683,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00032258.JPEG,n01443537,1,1,0.99428326,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00032675.JPEG,n01443537,1,1,0.9935621,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00034386.JPEG,n01443537,1,1,0.99766904,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00037846.JPEG,n01443537,1,1,0.8407345,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00038057.JPEG,n01443537,1,1,0.9888704,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00044095.JPEG,n01443537,1,1,0.9934963,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00045761.JPEG,n01443537,1,1,0.8865234,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00046915.JPEG,n01443537,1,1,0.9460601,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00046969.JPEG,n01443537,1,1,0.9803622,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00047396.JPEG,n01443537,1,1,0.98628205,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00047561.JPEG,n01443537,1,1,0.99714714,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00048840.JPEG,n01443537,1,1,0.99589044,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00048864.JPEG,n01443537,1,1,0.9039382,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00049585.JPEG,n01443537,1,1,0.9115998,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00049617.JPEG,n01443537,1,1,0.9930548,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00049712.JPEG,n01443537,1,1,0.9819787,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00002338.JPEG,n01484850,2,2,0.8592195,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00002752.JPEG,n01484850,2,2,0.9958483,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00004311.JPEG,n01484850,2,2,0.9877581,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00004329.JPEG,n01484850,2,2,0.90386,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00006491.JPEG,n01484850,2,2,0.9148821,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00008848.JPEG,n01484850,2,2,0.89263994,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00014467.JPEG,n01484850,2,2,0.9306152,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00015157.JPEG,n01484850,2,2,0.96535105,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00015220.JPEG,n01484850,2,2,0.9943514,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00016168.JPEG,n01484850,2,2,0.84495914,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00016859.JPEG,n01484850,2,3,0.53221804,0,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00016988.JPEG,n01484850,2,2,0.9916152,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00017105.JPEG,n01484850,2,2,0.9565927,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00017194.JPEG,n01484850,2,2,0.94734216,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00019409.JPEG,n01484850,2,2,0.84110296,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00019435.JPEG,n01484850,2,2,0.99063665,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00020011.JPEG,n01484850,2,2,0.9956027,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00023185.JPEG,n01484850,2,2,0.9764282,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00024940.JPEG,n01484850,2,2,0.98977906,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00025900.JPEG,n01484850,2,2,0.98468286,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00027063.JPEG,n01484850,2,2,0.9426974,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00027419.JPEG,n01484850,2,2,0.99489504,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00027514.JPEG,n01484850,2,2,0.99462444,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00028028.JPEG,n01484850,2,2,0.9867257,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00029481.JPEG,n01484850,2,2,0.9904295,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00030127.JPEG,n01484850,2,2,0.98619974,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00031466.JPEG,n01484850,2,2,0.8379116,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00031720.JPEG,n01484850,2,147,0.81213564,0,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00031808.JPEG,n01484850,2,2,0.9637489,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00032288.JPEG,n01484850,2,2,0.99594635,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00032417.JPEG,n01484850,2,3,0.9218987,0,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00034950.JPEG,n01484850,2,2,0.9815098,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00035223.JPEG,n01484850,2,2,0.8998836,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00035774.JPEG,n01484850,2,2,0.9966414,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00036737.JPEG,n01484850,2,2,0.9153415,1,imagenet,none,0,none
vit_h_14,ILSVRC2012_val_00037050.JPEG,n01484850,2,2,0.98671407,1,imagenet,none,0,none
