model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
vit_h_14,ILSVRC2012_val_00000293.JPEG,n01440764,0,390,0.5006776,0,imagenet_c,gaussian_noise,1,none
vit_h_14,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.97401595,1,imagenet_c,gaussian_noise,1,none
vit_h_14,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.9879974,1,imagenet_c,gaussian_noise,1,none
vit_h_14,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.99152875,1,imagenet_c,gaussian_noise,1,none
vit_h_14,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.9190595,1,imagenet_c,gaussian_noise,1,none
vit_h_14,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.9766461,1,imagenet_c,gaussian_noise,1,none
vit_h_14,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.9653908,1,imagenet_c,gaussian_noise,1,none
vit_h_14,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.8763272,1,imagenet_c,gaussian_noise,1,none
vit_h_14,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.92489713,1,imagenet_c,gaussian_noise,1,none
vit_h_14,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.987928,1,imagenet_c,gaussian_noise,1,none
vit_h_14,ILSVRC2012_val_00010306.JPEG,n01440764,0,133,0.96712154,0,imagenet_c,gaussian_noise,1,none
vit_h_14,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.93525416,1,imagenet_c,gaussian_noise,1,none
vit_h_14,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.92767555,1,imagenet_c,gaussian_noise,1,none
vit_h_14,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.99540126,1,imagenet_c,gaussian_noise,1,none
vit_h_14,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.9380966,1,imagenet_c,gaussian_noise,1,none
vit_h_14,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.9917474,1,imagenet_c,gaussian_noise,1,none
vit_h_14,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.99154496,1,imagenet_c,gaussian_noise,1,none
vit_h_14,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.97014666,1,imagenet_c,gaussian_noise,1,none
vit_h_14,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.9906149,1,imagenet_c,gaussian_noise,1,none
vit_h_14,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.9964755,1,imagenet_c,gaussian_noise,1,none
vit_h_14,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.9807973,1,imagenet_c,gaussian_noise,1,none
vit_h_14,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.9942046,1,imagenet_c,gaussian_noise,1,none
vit_h_14,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.977395,1,imagenet_c,gaussian_noise,1,none
vit_h_14,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.9974686,1,imagenet_c,gaussian_noise,1,none
vit_h_14,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.98977345,1,imagenet_c,gaussian_noise,1,none
vit_h_14,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.9449148,1,imagenet_c,gaussian_noise,1,none
vit_h_14,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.9473949,1,imagenet_c,gaussian_noise,1,none
vit_h_14,ILSVRC2012_val_00026064.JPEG,n01440764,0,0,0.94831675,1,imagenet_c,gaussian_noise,1,none
vit_h_14,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.9603406,1,imagenet_c,gaussian_noise,1,none
vit_h_14,ILSVRC2012_val_00028158.JPEG,n01440764,0,0,0.9735918,1,imagenet_c,gaussian_noise,1,none
vit_h_14,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.96374834,1,imagenet_c,gaussian_noise,1,none
vit_h_14,ILSVRC2012_val_00030740.JPEG,n01440764,0,0,0.99720746,1,imagenet_c,gaussian_noise,1,none
vit_h_14,ILSVRC2012_val_00031094.JPEG,n01440764,0,0,0.9519172,1,imagenet_c,gaussian_noise,1,none
vit_h_14,ILSVRC2012_val_00031333.JPEG,n01440764,0,0,0.9840709,1,imagenet_c,gaussian_noise,1,none
vit_h_14,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.98903674,1,imagenet_c,gaussian_noise,1,none
vit_h_14,ILSVRC2012_val_00037375.JPEG,n01440764,0,758,0.64561325,0,imagenet_c,gaussian_noise,1,none
vit_h_14,ILSVRC2012_val_00037383.JPEG,n01440764,0,0,0.98874134,1,imagenet_c,gaussian_noise,1,none
vit_h_14,ILSVRC2012_val_00037596.JPEG,n01440764,0,0,0.97186905,1,imagenet_c,gaussian_noise,1,none
vit_h_14,ILSVRC2012_val_00037834.JPEG,n01440764,0,0,0.9513511,1,imagenet_c,gaussian_noise,1,none
vit_h_14,ILSVRC2012_val_00037861.JPEG,n01440764,0,0,0.96926177,1,imagenet_c,gaussian_noise,1,none
vit_h_14,ILSVRC2012_val_00039905.JPEG,n01440764,0,0,0.9897484,1,imagenet_c,gaussian_noise,1,none
vit_h_14,ILSVRC2012_val_00040358.JPEG,n01440764,0,0,0.9811255,1,imagenet_c,gaussian_noise,1,none
