model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
vit_l_16,ILSVRC2012_val_00000293.JPEG,n01440764,0,0,0.7767915,1,imagenet,none,0,none
vit_l_16,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.9178068,1,imagenet,none,0,none
vit_l_16,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.80881417,1,imagenet,none,0,none
vit_l_16,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.8940981,1,imagenet,none,0,none
vit_l_16,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.8004613,1,imagenet,none,0,none
vit_l_16,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.93180585,1,imagenet,none,0,none
vit_l_16,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.9029575,1,imagenet,none,0,none
vit_l_16,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.9133808,1,imagenet,none,0,none
vit_l_16,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.8945141,1,imagenet,none,0,none
vit_l_16,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.9068985,1,imagenet,none,0,none
vit_l_16,ILSVRC2012_val_00010306.JPEG,n01440764,0,133,0.8731435,0,imagenet,none,0,none
vit_l_16,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.8813525,1,imagenet,none,0,none
vit_l_16,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.9048075,1,imagenet,none,0,none
vit_l_16,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.91408855,1,imagenet,none,0,none
vit_l_16,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.9234419,1,imagenet,none,0,none
vit_l_16,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.9028056,1,imagenet,none,0,none
vit_l_16,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.91564995,1,imagenet,none,0,none
vit_l_16,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.8589121,1,imagenet,none,0,none
vit_l_16,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.9101308,1,imagenet,none,0,none
vit_l_16,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.8997616,1,imagenet,none,0,none
vit_l_16,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.91496253,1,imagenet,none,0,none
vit_l_16,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.9017454,1,imagenet,none,0,none
vit_l_16,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.89988875,1,imagenet,none,0,none
vit_l_16,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.9218349,1,imagenet,none,0,none
vit_l_16,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.92273635,1,imagenet,none,0,none
vit_l_16,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.88906884,1,imagenet,none,0,none
vit_l_16,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.88391364,1,imagenet,none,0,none
vit_l_16,ILSVRC2012_val_00026064.JPEG,n01440764,0,0,0.9200485,1,imagenet,none,0,none
vit_l_16,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.90383494,1,imagenet,none,0,none
vit_l_16,ILSVRC2012_val_00028158.JPEG,n01440764,0,0,0.88553125,1,imagenet,none,0,none
vit_l_16,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.91320413,1,imagenet,none,0,none
vit_l_16,ILSVRC2012_val_00030740.JPEG,n01440764,0,0,0.92161816,1,imagenet,none,0,none
vit_l_16,ILSVRC2012_val_00031094.JPEG,n01440764,0,0,0.90901345,1,imagenet,none,0,none
vit_l_16,ILSVRC2012_val_00031333.JPEG,n01440764,0,0,0.8849174,1,imagenet,none,0,none
vit_l_16,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.89125407,1,imagenet,none,0,none
vit_l_16,ILSVRC2012_val_00037375.JPEG,n01440764,0,0,0.782407,1,imagenet,none,0,none
vit_l_16,ILSVRC2012_val_00037383.JPEG,n01440764,0,0,0.804038,1,imagenet,none,0,none
vit_l_16,ILSVRC2012_val_00037596.JPEG,n01440764,0,0,0.91072553,1,imagenet,none,0,none
vit_l_16,ILSVRC2012_val_00037834.JPEG,n01440764,0,0,0.90962756,1,imagenet,none,0,none
vit_l_16,ILSVRC2012_val_00037861.JPEG,n01440764,0,0,0.9147064,1,imagenet,none,0,none
vit_l_16,ILSVRC2012_val_00039905.JPEG,n01440764,0,0,0.90808207,1,imagenet,none,0,none
vit_l_16,ILSVRC2012_val_00040358.JPEG,n01440764,0,0,0.90220714,1,imagenet,none,0,none
vit_l_16,ILSVRC2012_val_00040833.JPEG,n01440764,0,0,0.9046582,1,imagenet,none,0,none
vit_l_16,ILSVRC2012_val_00041939.JPEG,n01440764,0,0,0.9230973,1,imagenet,none,0,none
vit_l_16,ILSVRC2012_val_00045866.JPEG,n01440764,0,0,0.900676,1,imagenet,none,0,none
vit_l_16,ILSVRC2012_val_00045880.JPEG,n01440764,0,0,0.91123134,1,imagenet,none,0,none
vit_l_16,ILSVRC2012_val_00046252.JPEG,n01440764,0,0,0.89525825,1,imagenet,none,0,none
vit_l_16,ILSVRC2012_val_00046499.JPEG,n01440764,0,0,0.9019767,1,imagenet,none,0,none
vit_l_16,ILSVRC2012_val_00048204.JPEG,n01440764,0,0,0.8825108,1,imagenet,none,0,none
vit_l_16,ILSVRC2012_val_00048969.JPEG,n01440764,0,0,0.87206894,1,imagenet,none,0,none
vit_l_16,ILSVRC2012_val_00000236.JPEG,n01443537,1,115,0.72722965,0,imagenet,none,0,none
vit_l_16,ILSVRC2012_val_00000262.JPEG,n01443537,1,1,0.9198143,1,imagenet,none,0,none
vit_l_16,ILSVRC2012_val_00000307.JPEG,n01443537,1,1,0.92078924,1,imagenet,none,0,none
vit_l_16,ILSVRC2012_val_00000994.JPEG,n01443537,1,1,0.90565354,1,imagenet,none,0,none
vit_l_16,ILSVRC2012_val_00002241.JPEG,n01443537,1,1,0.22210667,1,imagenet,none,0,none
vit_l_16,ILSVRC2012_val_00002848.JPEG,n01443537,1,1,0.91199756,1,imagenet,none,0,none
vit_l_16,ILSVRC2012_val_00003150.JPEG,n01443537,1,1,0.9097779,1,imagenet,none,0,none
vit_l_16,ILSVRC2012_val_00003735.JPEG,n01443537,1,1,0.8872714,1,imagenet,none,0,none
vit_l_16,ILSVRC2012_val_00004655.JPEG,n01443537,1,1,0.90099156,1,imagenet,none,0,none
vit_l_16,ILSVRC2012_val_00004677.JPEG,n01443537,1,1,0.89923024,1,imagenet,none,0,none
vit_l_16,ILSVRC2012_val_00005870.JPEG,n01443537,1,1,0.89997476,1,imagenet,none,0,none
vit_l_16,ILSVRC2012_val_00006007.JPEG,n01443537,1,1,0.86409223,1,imagenet,none,0,none
vit_l_16,ILSVRC2012_val_00006216.JPEG,n01443537,1,1,0.90385044,1,imagenet,none,0,none
vit_l_16,ILSVRC2012_val_00009034.JPEG,n01443537,1,1,0.90391505,1,imagenet,none,0,none
vit_l_16,ILSVRC2012_val_00010363.JPEG,n01443537,1,1,0.90159464,1,imagenet,none,0,none
vit_l_16,ILSVRC2012_val_00010509.JPEG,n01443537,1,1,0.9129391,1,imagenet,none,0,none
vit_l_16,ILSVRC2012_val_00011914.JPEG,n01443537,1,1,0.8377337,1,imagenet,none,0,none
vit_l_16,ILSVRC2012_val_00012880.JPEG,n01443537,1,1,0.89117086,1,imagenet,none,0,none
vit_l_16,ILSVRC2012_val_00013513.JPEG,n01443537,1,1,0.9105463,1,imagenet,none,0,none
vit_l_16,ILSVRC2012_val_00013623.JPEG,n01443537,1,1,0.9120231,1,imagenet,none,0,none
vit_l_16,ILSVRC2012_val_00016962.JPEG,n01443537,1,1,0.8987965,1,imagenet,none,0,none
vit_l_16,ILSVRC2012_val_00018075.JPEG,n01443537,1,1,0.91346085,1,imagenet,none,0,none
vit_l_16,ILSVRC2012_val_00019459.JPEG,n01443537,1,1,0.8224019,1,imagenet,none,0,none
vit_l_16,ILSVRC2012_val_00020436.JPEG,n01443537,1,1,0.9107164,1,imagenet,none,0,none
vit_l_16,ILSVRC2012_val_00020785.JPEG,n01443537,1,1,0.9020737,1,imagenet,none,0,none
vit_l_16,ILSVRC2012_val_00020822.JPEG,n01443537,1,1,0.89356893,1,imagenet,none,0,none
vit_l_16,ILSVRC2012_val_00021905.JPEG,n01443537,1,1,0.9128138,1,imagenet,none,0,none
