model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
vit_l_16,ILSVRC2012_val_00000293.JPEG,n01440764,0,390,0.34844282,0,imagenet_c,defocus_blur,1,none
vit_l_16,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.90760285,1,imagenet_c,defocus_blur,1,none
vit_l_16,ILSVRC2012_val_00003014.JPEG,n01440764,0,472,0.33468053,0,imagenet_c,defocus_blur,1,none
vit_l_16,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.92782944,1,imagenet_c,defocus_blur,1,none
vit_l_16,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.90164304,1,imagenet_c,defocus_blur,1,none
vit_l_16,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.9177178,1,imagenet_c,defocus_blur,1,none
vit_l_16,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.921685,1,imagenet_c,defocus_blur,1,none
vit_l_16,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.9207859,1,imagenet_c,defocus_blur,1,none
vit_l_16,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.9057938,1,imagenet_c,defocus_blur,1,none
vit_l_16,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.9216986,1,imagenet_c,defocus_blur,1,none
vit_l_16,ILSVRC2012_val_00010306.JPEG,n01440764,0,133,0.58727014,0,imagenet_c,defocus_blur,1,none
vit_l_16,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.90548277,1,imagenet_c,defocus_blur,1,none
vit_l_16,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.91746145,1,imagenet_c,defocus_blur,1,none
vit_l_16,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.9288013,1,imagenet_c,defocus_blur,1,none
vit_l_16,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.93002236,1,imagenet_c,defocus_blur,1,none
vit_l_16,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.8963154,1,imagenet_c,defocus_blur,1,none
vit_l_16,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.9324108,1,imagenet_c,defocus_blur,1,none
vit_l_16,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.9318295,1,imagenet_c,defocus_blur,1,none
vit_l_16,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.9258922,1,imagenet_c,defocus_blur,1,none
vit_l_16,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.9100581,1,imagenet_c,defocus_blur,1,none
vit_l_16,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.8953449,1,imagenet_c,defocus_blur,1,none
vit_l_16,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.920345,1,imagenet_c,defocus_blur,1,none
vit_l_16,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.9134906,1,imagenet_c,defocus_blur,1,none
vit_l_16,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.91936773,1,imagenet_c,defocus_blur,1,none
vit_l_16,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.93330365,1,imagenet_c,defocus_blur,1,none
vit_l_16,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.91178066,1,imagenet_c,defocus_blur,1,none
vit_l_16,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.9101749,1,imagenet_c,defocus_blur,1,none
vit_l_16,ILSVRC2012_val_00026064.JPEG,n01440764,0,0,0.91306365,1,imagenet_c,defocus_blur,1,none
vit_l_16,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.9220415,1,imagenet_c,defocus_blur,1,none
vit_l_16,ILSVRC2012_val_00028158.JPEG,n01440764,0,0,0.9011798,1,imagenet_c,defocus_blur,1,none
vit_l_16,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.9132587,1,imagenet_c,defocus_blur,1,none
vit_l_16,ILSVRC2012_val_00030740.JPEG,n01440764,0,0,0.9198574,1,imagenet_c,defocus_blur,1,none
vit_l_16,ILSVRC2012_val_00031094.JPEG,n01440764,0,0,0.9007927,1,imagenet_c,defocus_blur,1,none
vit_l_16,ILSVRC2012_val_00031333.JPEG,n01440764,0,0,0.9151911,1,imagenet_c,defocus_blur,1,none
vit_l_16,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.90839654,1,imagenet_c,defocus_blur,1,none
vit_l_16,ILSVRC2012_val_00037375.JPEG,n01440764,0,0,0.40196162,1,imagenet_c,defocus_blur,1,none
vit_l_16,ILSVRC2012_val_00037383.JPEG,n01440764,0,0,0.9405178,1,imagenet_c,defocus_blur,1,none
vit_l_16,ILSVRC2012_val_00037596.JPEG,n01440764,0,0,0.9191158,1,imagenet_c,defocus_blur,1,none
