model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
vit_l_16,ILSVRC2012_val_00000293.JPEG,n01440764,0,0,0.7544806,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.9158932,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.6842637,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.9207304,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.88299304,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.9198226,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.89744204,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.92195654,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.9067563,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.9107365,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00010306.JPEG,n01440764,0,133,0.7645308,0,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.90470505,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.9042197,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.91925097,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.9221121,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.8819426,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.9343861,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.9176406,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.92361563,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.9030017,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.9039168,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.91927606,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.91216296,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.91744924,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.93216324,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.90138364,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.876033,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00026064.JPEG,n01440764,0,0,0.9093219,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.91801065,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00028158.JPEG,n01440764,0,0,0.91101736,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.91654843,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00030740.JPEG,n01440764,0,0,0.92075706,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00031094.JPEG,n01440764,0,0,0.8528512,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00031333.JPEG,n01440764,0,0,0.89405626,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.910537,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00037375.JPEG,n01440764,0,0,0.75222135,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00037383.JPEG,n01440764,0,0,0.92237544,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00037596.JPEG,n01440764,0,0,0.92107403,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00037834.JPEG,n01440764,0,0,0.91132814,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00037861.JPEG,n01440764,0,0,0.9250602,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00039905.JPEG,n01440764,0,0,0.9263024,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00040358.JPEG,n01440764,0,0,0.9239121,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00040833.JPEG,n01440764,0,0,0.90937865,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00041939.JPEG,n01440764,0,0,0.91948843,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00045866.JPEG,n01440764,0,0,0.906895,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00045880.JPEG,n01440764,0,0,0.91725117,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00046252.JPEG,n01440764,0,0,0.9205291,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00046499.JPEG,n01440764,0,0,0.9025344,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00048204.JPEG,n01440764,0,0,0.9000444,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00048969.JPEG,n01440764,0,0,0.8357339,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00000236.JPEG,n01443537,1,115,0.8018756,0,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00000262.JPEG,n01443537,1,1,0.8950265,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00000307.JPEG,n01443537,1,1,0.91511875,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00000994.JPEG,n01443537,1,1,0.91156125,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00002241.JPEG,n01443537,1,794,0.6467352,0,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00002848.JPEG,n01443537,1,1,0.9360377,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00003150.JPEG,n01443537,1,1,0.883552,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00003735.JPEG,n01443537,1,1,0.8292813,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00004655.JPEG,n01443537,1,1,0.90205973,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00004677.JPEG,n01443537,1,1,0.8776,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00005870.JPEG,n01443537,1,719,0.6126725,0,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00006007.JPEG,n01443537,1,1,0.8597779,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00006216.JPEG,n01443537,1,1,0.8907124,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00009034.JPEG,n01443537,1,1,0.90469706,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00010363.JPEG,n01443537,1,1,0.90818286,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00010509.JPEG,n01443537,1,1,0.90655684,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00011914.JPEG,n01443537,1,1,0.86810744,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00012880.JPEG,n01443537,1,975,0.5040678,0,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00013513.JPEG,n01443537,1,1,0.9142945,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00013623.JPEG,n01443537,1,1,0.9345897,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00016962.JPEG,n01443537,1,1,0.7952306,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00018075.JPEG,n01443537,1,1,0.9156087,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00019459.JPEG,n01443537,1,1,0.91137016,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00020436.JPEG,n01443537,1,1,0.90981126,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00020785.JPEG,n01443537,1,1,0.90671825,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00020822.JPEG,n01443537,1,1,0.83902836,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00021905.JPEG,n01443537,1,1,0.9158367,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00022138.JPEG,n01443537,1,1,0.9026762,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00023869.JPEG,n01443537,1,1,0.9132448,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00028713.JPEG,n01443537,1,1,0.49186176,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00030060.JPEG,n01443537,1,1,0.9153301,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00030217.JPEG,n01443537,1,1,0.89438105,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00031138.JPEG,n01443537,1,1,0.8938765,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00032235.JPEG,n01443537,1,1,0.83897555,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00032258.JPEG,n01443537,1,1,0.91881233,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00032675.JPEG,n01443537,1,1,0.87899166,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00034386.JPEG,n01443537,1,1,0.88972795,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00037846.JPEG,n01443537,1,971,0.44996262,0,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00038057.JPEG,n01443537,1,1,0.36786398,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00044095.JPEG,n01443537,1,1,0.90853363,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00045761.JPEG,n01443537,1,1,0.9055043,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00046915.JPEG,n01443537,1,1,0.79675907,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00046969.JPEG,n01443537,1,1,0.9018039,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00047396.JPEG,n01443537,1,1,0.91542125,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00047561.JPEG,n01443537,1,1,0.8950474,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00048840.JPEG,n01443537,1,1,0.89503115,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00048864.JPEG,n01443537,1,1,0.8959339,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00049585.JPEG,n01443537,1,1,0.92077154,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00049617.JPEG,n01443537,1,1,0.83097756,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00049712.JPEG,n01443537,1,107,0.85240775,0,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00002338.JPEG,n01484850,2,2,0.71982837,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00002752.JPEG,n01484850,2,2,0.87118626,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00004311.JPEG,n01484850,2,2,0.8811466,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00004329.JPEG,n01484850,2,2,0.7760824,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00006491.JPEG,n01484850,2,2,0.8448038,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00008848.JPEG,n01484850,2,3,0.6648633,0,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00014467.JPEG,n01484850,2,2,0.89360493,1,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00015157.JPEG,n01484850,2,147,0.62697077,0,imagenet_c,glass_blur,1,none
vit_l_16,ILSVRC2012_val_00015220.JPEG,n01484850,2,2,0.7869312,1,imagenet_c,glass_blur,1,none
