model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
vit_l_16,ILSVRC2012_val_00000293.JPEG,n01440764,0,0,0.5670517,1,imagenet_c,motion_blur,1,none
vit_l_16,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.9073419,1,imagenet_c,motion_blur,1,none
vit_l_16,ILSVRC2012_val_00003014.JPEG,n01440764,0,472,0.41232878,0,imagenet_c,motion_blur,1,none
vit_l_16,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.9230793,1,imagenet_c,motion_blur,1,none
vit_l_16,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.81521595,1,imagenet_c,motion_blur,1,none
vit_l_16,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.9233514,1,imagenet_c,motion_blur,1,none
vit_l_16,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.85397774,1,imagenet_c,motion_blur,1,none
vit_l_16,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.92667174,1,imagenet_c,motion_blur,1,none
vit_l_16,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.9013165,1,imagenet_c,motion_blur,1,none
vit_l_16,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.9168813,1,imagenet_c,motion_blur,1,none
vit_l_16,ILSVRC2012_val_00010306.JPEG,n01440764,0,133,0.498384,0,imagenet_c,motion_blur,1,none
vit_l_16,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.90532947,1,imagenet_c,motion_blur,1,none
vit_l_16,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.8640587,1,imagenet_c,motion_blur,1,none
vit_l_16,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.9193517,1,imagenet_c,motion_blur,1,none
vit_l_16,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.9315216,1,imagenet_c,motion_blur,1,none
vit_l_16,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.8964596,1,imagenet_c,motion_blur,1,none
vit_l_16,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.9276777,1,imagenet_c,motion_blur,1,none
vit_l_16,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.92133665,1,imagenet_c,motion_blur,1,none
vit_l_16,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.92791706,1,imagenet_c,motion_blur,1,none
vit_l_16,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.904651,1,imagenet_c,motion_blur,1,none
vit_l_16,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.90288454,1,imagenet_c,motion_blur,1,none
vit_l_16,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.9152658,1,imagenet_c,motion_blur,1,none
