model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
vit_l_16,ILSVRC2012_val_00000293.JPEG,n01440764,0,390,0.47397423,0,imagenet_c,zoom_blur,1,none
vit_l_16,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.7396614,1,imagenet_c,zoom_blur,1,none
vit_l_16,ILSVRC2012_val_00003014.JPEG,n01440764,0,472,0.27560547,0,imagenet_c,zoom_blur,1,none
vit_l_16,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.92173624,1,imagenet_c,zoom_blur,1,none
vit_l_16,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.5765738,1,imagenet_c,zoom_blur,1,none
vit_l_16,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.9169132,1,imagenet_c,zoom_blur,1,none
vit_l_16,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.8769443,1,imagenet_c,zoom_blur,1,none
vit_l_16,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.9093219,1,imagenet_c,zoom_blur,1,none
vit_l_16,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.8861336,1,imagenet_c,zoom_blur,1,none
vit_l_16,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.9169564,1,imagenet_c,zoom_blur,1,none
vit_l_16,ILSVRC2012_val_00010306.JPEG,n01440764,0,370,0.14630738,0,imagenet_c,zoom_blur,1,none
vit_l_16,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.8930131,1,imagenet_c,zoom_blur,1,none
vit_l_16,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.8942308,1,imagenet_c,zoom_blur,1,none
vit_l_16,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.91688687,1,imagenet_c,zoom_blur,1,none
vit_l_16,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.91973996,1,imagenet_c,zoom_blur,1,none
vit_l_16,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.8143786,1,imagenet_c,zoom_blur,1,none
