model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
vit_l_16,ILSVRC2012_val_00000293.JPEG,n01440764,0,0,0.72969645,1,imagenet_c,gaussian_noise,1,none
vit_l_16,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.905619,1,imagenet_c,gaussian_noise,1,none
vit_l_16,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.45991185,1,imagenet_c,gaussian_noise,1,none
vit_l_16,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.8989774,1,imagenet_c,gaussian_noise,1,none
vit_l_16,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.7812947,1,imagenet_c,gaussian_noise,1,none
vit_l_16,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.8940007,1,imagenet_c,gaussian_noise,1,none
vit_l_16,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.8652028,1,imagenet_c,gaussian_noise,1,none
vit_l_16,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.901312,1,imagenet_c,gaussian_noise,1,none
vit_l_16,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.86276066,1,imagenet_c,gaussian_noise,1,none
vit_l_16,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.89743406,1,imagenet_c,gaussian_noise,1,none
vit_l_16,ILSVRC2012_val_00010306.JPEG,n01440764,0,133,0.5395383,0,imagenet_c,gaussian_noise,1,none
vit_l_16,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.88420653,1,imagenet_c,gaussian_noise,1,none
vit_l_16,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.80254966,1,imagenet_c,gaussian_noise,1,none
vit_l_16,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.8776327,1,imagenet_c,gaussian_noise,1,none
vit_l_16,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.91427636,1,imagenet_c,gaussian_noise,1,none
vit_l_16,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.89856267,1,imagenet_c,gaussian_noise,1,none
vit_l_16,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.9136692,1,imagenet_c,gaussian_noise,1,none
vit_l_16,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.8881566,1,imagenet_c,gaussian_noise,1,none
vit_l_16,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.85389066,1,imagenet_c,gaussian_noise,1,none
vit_l_16,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.91879976,1,imagenet_c,gaussian_noise,1,none
vit_l_16,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.86608106,1,imagenet_c,gaussian_noise,1,none
vit_l_16,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.9097998,1,imagenet_c,gaussian_noise,1,none
