model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
vit_l_16,ILSVRC2012_val_00000293.JPEG,n01440764,0,394,0.39689854,0,imagenet_c,impulse_noise,1,none
vit_l_16,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.87906593,1,imagenet_c,impulse_noise,1,none
vit_l_16,ILSVRC2012_val_00003014.JPEG,n01440764,0,268,0.14350918,0,imagenet_c,impulse_noise,1,none
vit_l_16,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.89313185,1,imagenet_c,impulse_noise,1,none
vit_l_16,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.7993436,1,imagenet_c,impulse_noise,1,none
vit_l_16,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.93178356,1,imagenet_c,impulse_noise,1,none
vit_l_16,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.7872101,1,imagenet_c,impulse_noise,1,none
vit_l_16,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.8839114,1,imagenet_c,impulse_noise,1,none
vit_l_16,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.844493,1,imagenet_c,impulse_noise,1,none
vit_l_16,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.8836513,1,imagenet_c,impulse_noise,1,none
vit_l_16,ILSVRC2012_val_00010306.JPEG,n01440764,0,133,0.34919548,0,imagenet_c,impulse_noise,1,none
vit_l_16,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.8852487,1,imagenet_c,impulse_noise,1,none
vit_l_16,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.85187817,1,imagenet_c,impulse_noise,1,none
vit_l_16,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.8926409,1,imagenet_c,impulse_noise,1,none
vit_l_16,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.90989256,1,imagenet_c,impulse_noise,1,none
vit_l_16,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.8826531,1,imagenet_c,impulse_noise,1,none
vit_l_16,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.9119522,1,imagenet_c,impulse_noise,1,none
vit_l_16,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.8984883,1,imagenet_c,impulse_noise,1,none
vit_l_16,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.9113904,1,imagenet_c,impulse_noise,1,none
vit_l_16,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.91127074,1,imagenet_c,impulse_noise,1,none
vit_l_16,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.8699825,1,imagenet_c,impulse_noise,1,none
vit_l_16,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.75324553,1,imagenet_c,impulse_noise,1,none
vit_l_16,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.8310743,1,imagenet_c,impulse_noise,1,none
vit_l_16,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.9142246,1,imagenet_c,impulse_noise,1,none
vit_l_16,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.8807254,1,imagenet_c,impulse_noise,1,none
vit_l_16,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.89216197,1,imagenet_c,impulse_noise,1,none
vit_l_16,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.86170465,1,imagenet_c,impulse_noise,1,none
