model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
vit_l_16,ILSVRC2012_val_00000293.JPEG,n01440764,0,0,0.5593087,1,imagenet_c,shot_noise,1,none
vit_l_16,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.8986211,1,imagenet_c,shot_noise,1,none
vit_l_16,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.35482162,1,imagenet_c,shot_noise,1,none
vit_l_16,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.8665488,1,imagenet_c,shot_noise,1,none
vit_l_16,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.7768851,1,imagenet_c,shot_noise,1,none
vit_l_16,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.8615211,1,imagenet_c,shot_noise,1,none
vit_l_16,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.80811447,1,imagenet_c,shot_noise,1,none
vit_l_16,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.83677405,1,imagenet_c,shot_noise,1,none
vit_l_16,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.86704737,1,imagenet_c,shot_noise,1,none
vit_l_16,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.87511533,1,imagenet_c,shot_noise,1,none
vit_l_16,ILSVRC2012_val_00010306.JPEG,n01440764,0,133,0.2419314,0,imagenet_c,shot_noise,1,none
vit_l_16,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.8969801,1,imagenet_c,shot_noise,1,none
vit_l_16,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.851475,1,imagenet_c,shot_noise,1,none
vit_l_16,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.8524498,1,imagenet_c,shot_noise,1,none
vit_l_16,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.8921553,1,imagenet_c,shot_noise,1,none
vit_l_16,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.8623496,1,imagenet_c,shot_noise,1,none
vit_l_16,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.9142616,1,imagenet_c,shot_noise,1,none
vit_l_16,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.8606393,1,imagenet_c,shot_noise,1,none
vit_l_16,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.89201915,1,imagenet_c,shot_noise,1,none
vit_l_16,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.91719204,1,imagenet_c,shot_noise,1,none
vit_l_16,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.8548092,1,imagenet_c,shot_noise,1,none
vit_l_16,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.9108141,1,imagenet_c,shot_noise,1,none
vit_l_16,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.8557312,1,imagenet_c,shot_noise,1,none
vit_l_16,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.9171195,1,imagenet_c,shot_noise,1,none
vit_l_16,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.89788586,1,imagenet_c,shot_noise,1,none
vit_l_16,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.8924962,1,imagenet_c,shot_noise,1,none
vit_l_16,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.85717195,1,imagenet_c,shot_noise,1,none
vit_l_16,ILSVRC2012_val_00026064.JPEG,n01440764,0,0,0.8519575,1,imagenet_c,shot_noise,1,none
vit_l_16,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.88087577,1,imagenet_c,shot_noise,1,none
vit_l_16,ILSVRC2012_val_00028158.JPEG,n01440764,0,0,0.7356251,1,imagenet_c,shot_noise,1,none
vit_l_16,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.89674497,1,imagenet_c,shot_noise,1,none
vit_l_16,ILSVRC2012_val_00030740.JPEG,n01440764,0,0,0.89818645,1,imagenet_c,shot_noise,1,none
vit_l_16,ILSVRC2012_val_00031094.JPEG,n01440764,0,0,0.86358863,1,imagenet_c,shot_noise,1,none
vit_l_16,ILSVRC2012_val_00031333.JPEG,n01440764,0,0,0.85307264,1,imagenet_c,shot_noise,1,none
vit_l_16,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.84812176,1,imagenet_c,shot_noise,1,none
vit_l_16,ILSVRC2012_val_00037375.JPEG,n01440764,0,758,0.40270978,0,imagenet_c,shot_noise,1,none
vit_l_16,ILSVRC2012_val_00037383.JPEG,n01440764,0,0,0.58759546,1,imagenet_c,shot_noise,1,none
vit_l_16,ILSVRC2012_val_00037596.JPEG,n01440764,0,0,0.91049814,1,imagenet_c,shot_noise,1,none
vit_l_16,ILSVRC2012_val_00037834.JPEG,n01440764,0,0,0.8973373,1,imagenet_c,shot_noise,1,none
vit_l_16,ILSVRC2012_val_00037861.JPEG,n01440764,0,0,0.90855503,1,imagenet_c,shot_noise,1,none
vit_l_16,ILSVRC2012_val_00039905.JPEG,n01440764,0,0,0.9117754,1,imagenet_c,shot_noise,1,none
vit_l_16,ILSVRC2012_val_00040358.JPEG,n01440764,0,0,0.9079274,1,imagenet_c,shot_noise,1,none
vit_l_16,ILSVRC2012_val_00040833.JPEG,n01440764,0,0,0.85467213,1,imagenet_c,shot_noise,1,none
vit_l_16,ILSVRC2012_val_00041939.JPEG,n01440764,0,0,0.90831727,1,imagenet_c,shot_noise,1,none
vit_l_16,ILSVRC2012_val_00045866.JPEG,n01440764,0,0,0.8755199,1,imagenet_c,shot_noise,1,none
vit_l_16,ILSVRC2012_val_00045880.JPEG,n01440764,0,0,0.87024605,1,imagenet_c,shot_noise,1,none
vit_l_16,ILSVRC2012_val_00046252.JPEG,n01440764,0,0,0.89436054,1,imagenet_c,shot_noise,1,none
vit_l_16,ILSVRC2012_val_00046499.JPEG,n01440764,0,0,0.87043977,1,imagenet_c,shot_noise,1,none
