model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
wide_resnet101_2,ILSVRC2012_val_00000293.JPEG,n01440764,0,329,0.3634148,0,imagenet_c,glass_blur,3,none
wide_resnet101_2,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.19644967,1,imagenet_c,glass_blur,3,none
wide_resnet101_2,ILSVRC2012_val_00003014.JPEG,n01440764,0,552,0.9202501,0,imagenet_c,glass_blur,3,none
wide_resnet101_2,ILSVRC2012_val_00006697.JPEG,n01440764,0,229,0.24174385,0,imagenet_c,glass_blur,3,none
wide_resnet101_2,ILSVRC2012_val_00007197.JPEG,n01440764,0,47,0.11671069,0,imagenet_c,glass_blur,3,none
wide_resnet101_2,ILSVRC2012_val_00009111.JPEG,n01440764,0,114,0.112321906,0,imagenet_c,glass_blur,3,none
wide_resnet101_2,ILSVRC2012_val_00009191.JPEG,n01440764,0,188,0.19712624,0,imagenet_c,glass_blur,3,none
wide_resnet101_2,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.6668749,1,imagenet_c,glass_blur,3,none
wide_resnet101_2,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.7529571,1,imagenet_c,glass_blur,3,none
wide_resnet101_2,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.7896103,1,imagenet_c,glass_blur,3,none
wide_resnet101_2,ILSVRC2012_val_00010306.JPEG,n01440764,0,895,0.39737564,0,imagenet_c,glass_blur,3,none
wide_resnet101_2,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.80112636,1,imagenet_c,glass_blur,3,none
wide_resnet101_2,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.83047616,1,imagenet_c,glass_blur,3,none
wide_resnet101_2,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.89736897,1,imagenet_c,glass_blur,3,none
wide_resnet101_2,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.7337915,1,imagenet_c,glass_blur,3,none
wide_resnet101_2,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.84738773,1,imagenet_c,glass_blur,3,none
wide_resnet101_2,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.46555796,1,imagenet_c,glass_blur,3,none
wide_resnet101_2,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.38234437,1,imagenet_c,glass_blur,3,none
wide_resnet101_2,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.8251114,1,imagenet_c,glass_blur,3,none
wide_resnet101_2,ILSVRC2012_val_00017995.JPEG,n01440764,0,701,0.08985531,0,imagenet_c,glass_blur,3,none
wide_resnet101_2,ILSVRC2012_val_00018317.JPEG,n01440764,0,552,0.3869262,0,imagenet_c,glass_blur,3,none
wide_resnet101_2,ILSVRC2012_val_00021740.JPEG,n01440764,0,384,0.8566917,0,imagenet_c,glass_blur,3,none
wide_resnet101_2,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.5262344,1,imagenet_c,glass_blur,3,none
