model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
wide_resnet50_2,ILSVRC2012_val_00000293.JPEG,n01440764,0,0,0.08812952,1,imagenet,none,0,none
wide_resnet50_2,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.56716156,1,imagenet,none,0,none
wide_resnet50_2,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.63601595,1,imagenet,none,0,none
wide_resnet50_2,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.5316341,1,imagenet,none,0,none
wide_resnet50_2,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.35708222,1,imagenet,none,0,none
wide_resnet50_2,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.65529186,1,imagenet,none,0,none
wide_resnet50_2,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.53292006,1,imagenet,none,0,none
wide_resnet50_2,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.5741859,1,imagenet,none,0,none
wide_resnet50_2,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.5172729,1,imagenet,none,0,none
wide_resnet50_2,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.65408236,1,imagenet,none,0,none
wide_resnet50_2,ILSVRC2012_val_00010306.JPEG,n01440764,0,133,0.3562666,0,imagenet,none,0,none
wide_resnet50_2,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.5014198,1,imagenet,none,0,none
wide_resnet50_2,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.6479949,1,imagenet,none,0,none
wide_resnet50_2,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.6461732,1,imagenet,none,0,none
wide_resnet50_2,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.5954763,1,imagenet,none,0,none
wide_resnet50_2,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.6318856,1,imagenet,none,0,none
wide_resnet50_2,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.4356792,1,imagenet,none,0,none
wide_resnet50_2,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.56213707,1,imagenet,none,0,none
wide_resnet50_2,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.55193377,1,imagenet,none,0,none
wide_resnet50_2,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.54668856,1,imagenet,none,0,none
wide_resnet50_2,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.39482418,1,imagenet,none,0,none
wide_resnet50_2,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.49483985,1,imagenet,none,0,none
wide_resnet50_2,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.39367363,1,imagenet,none,0,none
wide_resnet50_2,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.55338174,1,imagenet,none,0,none
wide_resnet50_2,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.59016156,1,imagenet,none,0,none
wide_resnet50_2,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.556964,1,imagenet,none,0,none
wide_resnet50_2,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.76982,1,imagenet,none,0,none
wide_resnet50_2,ILSVRC2012_val_00026064.JPEG,n01440764,0,0,0.57228416,1,imagenet,none,0,none
wide_resnet50_2,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.5435307,1,imagenet,none,0,none
wide_resnet50_2,ILSVRC2012_val_00028158.JPEG,n01440764,0,0,0.7157236,1,imagenet,none,0,none
wide_resnet50_2,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.44378957,1,imagenet,none,0,none
wide_resnet50_2,ILSVRC2012_val_00030740.JPEG,n01440764,0,0,0.6916766,1,imagenet,none,0,none
wide_resnet50_2,ILSVRC2012_val_00031094.JPEG,n01440764,0,0,0.62493175,1,imagenet,none,0,none
wide_resnet50_2,ILSVRC2012_val_00031333.JPEG,n01440764,0,0,0.56494385,1,imagenet,none,0,none
wide_resnet50_2,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.7303217,1,imagenet,none,0,none
wide_resnet50_2,ILSVRC2012_val_00037375.JPEG,n01440764,0,0,0.28581694,1,imagenet,none,0,none
