model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
wide_resnet50_2,ILSVRC2012_val_00000293.JPEG,n01440764,0,95,0.07480096,0,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.13947232,1,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00003014.JPEG,n01440764,0,768,0.16207032,0,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.54486567,1,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.36547357,1,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00009111.JPEG,n01440764,0,382,0.03364853,0,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.41987836,1,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.5365735,1,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.69161075,1,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.65407485,1,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00010306.JPEG,n01440764,0,133,0.026915455,0,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.5400481,1,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.5218874,1,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.41541398,1,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.6878027,1,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.61692905,1,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.5466176,1,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.29151115,1,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.6828887,1,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.18752986,1,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00018317.JPEG,n01440764,0,522,0.06917573,0,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.07004696,1,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.5259441,1,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.5901714,1,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.7043077,1,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.3858814,1,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.50640076,1,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00026064.JPEG,n01440764,0,121,0.08786775,0,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.52949685,1,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00028158.JPEG,n01440764,0,103,0.61458045,0,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.44158363,1,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00030740.JPEG,n01440764,0,0,0.14853095,1,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00031094.JPEG,n01440764,0,522,0.14337732,0,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00031333.JPEG,n01440764,0,0,0.2525504,1,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.5938346,1,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00037375.JPEG,n01440764,0,389,0.0814218,0,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00037383.JPEG,n01440764,0,7,0.021885708,0,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00037596.JPEG,n01440764,0,0,0.3565284,1,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00037834.JPEG,n01440764,0,0,0.26603565,1,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00037861.JPEG,n01440764,0,0,0.5455998,1,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00039905.JPEG,n01440764,0,0,0.55145013,1,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00040358.JPEG,n01440764,0,0,0.28450227,1,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00040833.JPEG,n01440764,0,0,0.5395653,1,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00041939.JPEG,n01440764,0,0,0.29677543,1,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00045866.JPEG,n01440764,0,0,0.57254606,1,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00045880.JPEG,n01440764,0,0,0.5171288,1,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00046252.JPEG,n01440764,0,939,0.2922382,0,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00046499.JPEG,n01440764,0,0,0.5043998,1,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00048204.JPEG,n01440764,0,0,0.5080642,1,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00048969.JPEG,n01440764,0,0,0.51057315,1,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00000236.JPEG,n01443537,1,115,0.24136114,0,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00000262.JPEG,n01443537,1,1,0.2696583,1,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00000307.JPEG,n01443537,1,1,0.90929735,1,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00000994.JPEG,n01443537,1,1,0.5865552,1,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00002241.JPEG,n01443537,1,1,0.30217096,1,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00002848.JPEG,n01443537,1,1,0.23516323,1,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00003150.JPEG,n01443537,1,1,0.50835204,1,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00003735.JPEG,n01443537,1,1,0.13530268,1,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00004655.JPEG,n01443537,1,1,0.41632098,1,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00004677.JPEG,n01443537,1,989,0.08557947,0,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00005870.JPEG,n01443537,1,794,0.14980224,0,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00006007.JPEG,n01443537,1,111,0.1745019,0,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00006216.JPEG,n01443537,1,1,0.42143685,1,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00009034.JPEG,n01443537,1,1,0.62511295,1,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00010363.JPEG,n01443537,1,927,0.033283174,0,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00010509.JPEG,n01443537,1,1,0.3488847,1,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00011914.JPEG,n01443537,1,1,0.65236604,1,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00012880.JPEG,n01443537,1,574,0.116967775,0,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00013513.JPEG,n01443537,1,1,0.40812,1,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00013623.JPEG,n01443537,1,1,0.46027443,1,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00016962.JPEG,n01443537,1,27,0.21849106,0,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00018075.JPEG,n01443537,1,1,0.62962806,1,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00019459.JPEG,n01443537,1,301,0.047896393,0,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00020436.JPEG,n01443537,1,310,0.1805239,0,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00020785.JPEG,n01443537,1,1,0.46818578,1,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00020822.JPEG,n01443537,1,1,0.53063786,1,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00021905.JPEG,n01443537,1,1,0.21462898,1,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00022138.JPEG,n01443537,1,989,0.16898473,0,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00023869.JPEG,n01443537,1,1,0.70417905,1,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00028713.JPEG,n01443537,1,123,0.09947308,0,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00030060.JPEG,n01443537,1,1,0.10410753,1,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00030217.JPEG,n01443537,1,1,0.2815845,1,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00031138.JPEG,n01443537,1,1,0.4592029,1,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00032235.JPEG,n01443537,1,29,0.28033307,0,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00032258.JPEG,n01443537,1,1,0.52244097,1,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00032675.JPEG,n01443537,1,1,0.47612768,1,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00034386.JPEG,n01443537,1,1,0.4600667,1,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00037846.JPEG,n01443537,1,794,0.111404955,0,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00038057.JPEG,n01443537,1,989,0.16933975,0,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00044095.JPEG,n01443537,1,1,0.41467848,1,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00045761.JPEG,n01443537,1,1,0.2329573,1,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00046915.JPEG,n01443537,1,1,0.25051254,1,imagenet_c,defocus_blur,3,none
wide_resnet50_2,ILSVRC2012_val_00046969.JPEG,n01443537,1,1,0.5375809,1,imagenet_c,defocus_blur,3,none
