model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
wide_resnet50_2,ILSVRC2012_val_00000293.JPEG,n01440764,0,58,0.26910895,0,imagenet_c,zoom_blur,2,none
wide_resnet50_2,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.61780393,1,imagenet_c,zoom_blur,2,none
wide_resnet50_2,ILSVRC2012_val_00003014.JPEG,n01440764,0,671,0.16004604,0,imagenet_c,zoom_blur,2,none
wide_resnet50_2,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.63290596,1,imagenet_c,zoom_blur,2,none
wide_resnet50_2,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.5650105,1,imagenet_c,zoom_blur,2,none
wide_resnet50_2,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.050638877,1,imagenet_c,zoom_blur,2,none
wide_resnet50_2,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.5299394,1,imagenet_c,zoom_blur,2,none
wide_resnet50_2,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.42616314,1,imagenet_c,zoom_blur,2,none
wide_resnet50_2,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.5053467,1,imagenet_c,zoom_blur,2,none
wide_resnet50_2,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.5574128,1,imagenet_c,zoom_blur,2,none
wide_resnet50_2,ILSVRC2012_val_00010306.JPEG,n01440764,0,133,0.056729358,0,imagenet_c,zoom_blur,2,none
wide_resnet50_2,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.52498525,1,imagenet_c,zoom_blur,2,none
wide_resnet50_2,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.49510723,1,imagenet_c,zoom_blur,2,none
wide_resnet50_2,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.6036962,1,imagenet_c,zoom_blur,2,none
wide_resnet50_2,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.7282215,1,imagenet_c,zoom_blur,2,none
wide_resnet50_2,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.7042264,1,imagenet_c,zoom_blur,2,none
wide_resnet50_2,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.62617093,1,imagenet_c,zoom_blur,2,none
wide_resnet50_2,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.49622586,1,imagenet_c,zoom_blur,2,none
wide_resnet50_2,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.6240267,1,imagenet_c,zoom_blur,2,none
wide_resnet50_2,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.5748114,1,imagenet_c,zoom_blur,2,none
wide_resnet50_2,ILSVRC2012_val_00018317.JPEG,n01440764,0,671,0.25961128,0,imagenet_c,zoom_blur,2,none
wide_resnet50_2,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.5536542,1,imagenet_c,zoom_blur,2,none
wide_resnet50_2,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.48905993,1,imagenet_c,zoom_blur,2,none
wide_resnet50_2,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.55723476,1,imagenet_c,zoom_blur,2,none
wide_resnet50_2,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.6155434,1,imagenet_c,zoom_blur,2,none
wide_resnet50_2,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.77373874,1,imagenet_c,zoom_blur,2,none
wide_resnet50_2,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.55259514,1,imagenet_c,zoom_blur,2,none
wide_resnet50_2,ILSVRC2012_val_00026064.JPEG,n01440764,0,0,0.21821761,1,imagenet_c,zoom_blur,2,none
wide_resnet50_2,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.38205683,1,imagenet_c,zoom_blur,2,none
wide_resnet50_2,ILSVRC2012_val_00028158.JPEG,n01440764,0,103,0.24176352,0,imagenet_c,zoom_blur,2,none
wide_resnet50_2,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.46059224,1,imagenet_c,zoom_blur,2,none
wide_resnet50_2,ILSVRC2012_val_00030740.JPEG,n01440764,0,0,0.04951772,1,imagenet_c,zoom_blur,2,none
wide_resnet50_2,ILSVRC2012_val_00031094.JPEG,n01440764,0,88,0.1812556,0,imagenet_c,zoom_blur,2,none
wide_resnet50_2,ILSVRC2012_val_00031333.JPEG,n01440764,0,0,0.45054328,1,imagenet_c,zoom_blur,2,none
wide_resnet50_2,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.582315,1,imagenet_c,zoom_blur,2,none
wide_resnet50_2,ILSVRC2012_val_00037375.JPEG,n01440764,0,391,0.23990335,0,imagenet_c,zoom_blur,2,none
wide_resnet50_2,ILSVRC2012_val_00037383.JPEG,n01440764,0,359,0.069753,0,imagenet_c,zoom_blur,2,none
wide_resnet50_2,ILSVRC2012_val_00037596.JPEG,n01440764,0,0,0.62193817,1,imagenet_c,zoom_blur,2,none
wide_resnet50_2,ILSVRC2012_val_00037834.JPEG,n01440764,0,0,0.5356482,1,imagenet_c,zoom_blur,2,none
wide_resnet50_2,ILSVRC2012_val_00037861.JPEG,n01440764,0,0,0.6504126,1,imagenet_c,zoom_blur,2,none
wide_resnet50_2,ILSVRC2012_val_00039905.JPEG,n01440764,0,0,0.51872754,1,imagenet_c,zoom_blur,2,none
wide_resnet50_2,ILSVRC2012_val_00040358.JPEG,n01440764,0,0,0.35046726,1,imagenet_c,zoom_blur,2,none
wide_resnet50_2,ILSVRC2012_val_00040833.JPEG,n01440764,0,0,0.5172252,1,imagenet_c,zoom_blur,2,none
wide_resnet50_2,ILSVRC2012_val_00041939.JPEG,n01440764,0,671,0.16855031,0,imagenet_c,zoom_blur,2,none
wide_resnet50_2,ILSVRC2012_val_00045866.JPEG,n01440764,0,0,0.5540145,1,imagenet_c,zoom_blur,2,none
wide_resnet50_2,ILSVRC2012_val_00045880.JPEG,n01440764,0,0,0.5628992,1,imagenet_c,zoom_blur,2,none
wide_resnet50_2,ILSVRC2012_val_00046252.JPEG,n01440764,0,0,0.25481886,1,imagenet_c,zoom_blur,2,none
wide_resnet50_2,ILSVRC2012_val_00046499.JPEG,n01440764,0,0,0.45197192,1,imagenet_c,zoom_blur,2,none
wide_resnet50_2,ILSVRC2012_val_00048204.JPEG,n01440764,0,0,0.557625,1,imagenet_c,zoom_blur,2,none
wide_resnet50_2,ILSVRC2012_val_00048969.JPEG,n01440764,0,0,0.4876291,1,imagenet_c,zoom_blur,2,none
wide_resnet50_2,ILSVRC2012_val_00000236.JPEG,n01443537,1,110,0.13833582,0,imagenet_c,zoom_blur,2,none
wide_resnet50_2,ILSVRC2012_val_00000262.JPEG,n01443537,1,1,0.5397189,1,imagenet_c,zoom_blur,2,none
wide_resnet50_2,ILSVRC2012_val_00000307.JPEG,n01443537,1,1,0.9412137,1,imagenet_c,zoom_blur,2,none
wide_resnet50_2,ILSVRC2012_val_00000994.JPEG,n01443537,1,1,0.66512024,1,imagenet_c,zoom_blur,2,none
wide_resnet50_2,ILSVRC2012_val_00002241.JPEG,n01443537,1,1,0.067179464,1,imagenet_c,zoom_blur,2,none
wide_resnet50_2,ILSVRC2012_val_00002848.JPEG,n01443537,1,1,0.5588787,1,imagenet_c,zoom_blur,2,none
wide_resnet50_2,ILSVRC2012_val_00003150.JPEG,n01443537,1,1,0.49040058,1,imagenet_c,zoom_blur,2,none
wide_resnet50_2,ILSVRC2012_val_00003735.JPEG,n01443537,1,1,0.5031464,1,imagenet_c,zoom_blur,2,none
wide_resnet50_2,ILSVRC2012_val_00004655.JPEG,n01443537,1,1,0.53510255,1,imagenet_c,zoom_blur,2,none
wide_resnet50_2,ILSVRC2012_val_00004677.JPEG,n01443537,1,1,0.35350195,1,imagenet_c,zoom_blur,2,none
wide_resnet50_2,ILSVRC2012_val_00005870.JPEG,n01443537,1,1,0.2757905,1,imagenet_c,zoom_blur,2,none
wide_resnet50_2,ILSVRC2012_val_00006007.JPEG,n01443537,1,111,0.29676715,0,imagenet_c,zoom_blur,2,none
wide_resnet50_2,ILSVRC2012_val_00006216.JPEG,n01443537,1,1,0.43485844,1,imagenet_c,zoom_blur,2,none
wide_resnet50_2,ILSVRC2012_val_00009034.JPEG,n01443537,1,1,0.5705021,1,imagenet_c,zoom_blur,2,none
wide_resnet50_2,ILSVRC2012_val_00010363.JPEG,n01443537,1,1,0.56100494,1,imagenet_c,zoom_blur,2,none
wide_resnet50_2,ILSVRC2012_val_00010509.JPEG,n01443537,1,1,0.32474482,1,imagenet_c,zoom_blur,2,none
wide_resnet50_2,ILSVRC2012_val_00011914.JPEG,n01443537,1,1,0.36266494,1,imagenet_c,zoom_blur,2,none
wide_resnet50_2,ILSVRC2012_val_00012880.JPEG,n01443537,1,807,0.08169511,0,imagenet_c,zoom_blur,2,none
wide_resnet50_2,ILSVRC2012_val_00013513.JPEG,n01443537,1,1,0.60766923,1,imagenet_c,zoom_blur,2,none
wide_resnet50_2,ILSVRC2012_val_00013623.JPEG,n01443537,1,1,0.5643645,1,imagenet_c,zoom_blur,2,none
wide_resnet50_2,ILSVRC2012_val_00016962.JPEG,n01443537,1,1,0.6947967,1,imagenet_c,zoom_blur,2,none
