model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
wide_resnet50_2,ILSVRC2012_val_00000293.JPEG,n01440764,0,0,0.2713424,1,imagenet_c,contrast,1,none
wide_resnet50_2,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.50317144,1,imagenet_c,contrast,1,none
wide_resnet50_2,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.35767287,1,imagenet_c,contrast,1,none
wide_resnet50_2,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.5632149,1,imagenet_c,contrast,1,none
wide_resnet50_2,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.34857488,1,imagenet_c,contrast,1,none
wide_resnet50_2,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.68250746,1,imagenet_c,contrast,1,none
wide_resnet50_2,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.43834582,1,imagenet_c,contrast,1,none
wide_resnet50_2,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.47794893,1,imagenet_c,contrast,1,none
wide_resnet50_2,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.52459234,1,imagenet_c,contrast,1,none
wide_resnet50_2,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.70419294,1,imagenet_c,contrast,1,none
wide_resnet50_2,ILSVRC2012_val_00010306.JPEG,n01440764,0,133,0.27555716,0,imagenet_c,contrast,1,none
wide_resnet50_2,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.51129115,1,imagenet_c,contrast,1,none
wide_resnet50_2,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.55253273,1,imagenet_c,contrast,1,none
wide_resnet50_2,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.5353324,1,imagenet_c,contrast,1,none
wide_resnet50_2,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.5704895,1,imagenet_c,contrast,1,none
wide_resnet50_2,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.6350056,1,imagenet_c,contrast,1,none
wide_resnet50_2,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.48294145,1,imagenet_c,contrast,1,none
wide_resnet50_2,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.6090892,1,imagenet_c,contrast,1,none
wide_resnet50_2,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.5795326,1,imagenet_c,contrast,1,none
wide_resnet50_2,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.65529114,1,imagenet_c,contrast,1,none
wide_resnet50_2,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.5092506,1,imagenet_c,contrast,1,none
wide_resnet50_2,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.57793194,1,imagenet_c,contrast,1,none
wide_resnet50_2,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.5875188,1,imagenet_c,contrast,1,none
