model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
wide_resnet50_2,ILSVRC2012_val_00000293.JPEG,n01440764,0,0,0.19162686,1,imagenet_c,elastic_transform,1,none
wide_resnet50_2,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.39979458,1,imagenet_c,elastic_transform,1,none
wide_resnet50_2,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.17689188,1,imagenet_c,elastic_transform,1,none
wide_resnet50_2,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.5216779,1,imagenet_c,elastic_transform,1,none
wide_resnet50_2,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.39692506,1,imagenet_c,elastic_transform,1,none
wide_resnet50_2,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.52775365,1,imagenet_c,elastic_transform,1,none
wide_resnet50_2,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.52381796,1,imagenet_c,elastic_transform,1,none
wide_resnet50_2,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.54539603,1,imagenet_c,elastic_transform,1,none
wide_resnet50_2,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.51695246,1,imagenet_c,elastic_transform,1,none
wide_resnet50_2,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.76654696,1,imagenet_c,elastic_transform,1,none
wide_resnet50_2,ILSVRC2012_val_00010306.JPEG,n01440764,0,133,0.09449496,0,imagenet_c,elastic_transform,1,none
wide_resnet50_2,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.5933972,1,imagenet_c,elastic_transform,1,none
wide_resnet50_2,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.6617474,1,imagenet_c,elastic_transform,1,none
wide_resnet50_2,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.6211273,1,imagenet_c,elastic_transform,1,none
wide_resnet50_2,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.48897672,1,imagenet_c,elastic_transform,1,none
wide_resnet50_2,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.55660015,1,imagenet_c,elastic_transform,1,none
wide_resnet50_2,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.297074,1,imagenet_c,elastic_transform,1,none
wide_resnet50_2,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.5470182,1,imagenet_c,elastic_transform,1,none
wide_resnet50_2,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.6046452,1,imagenet_c,elastic_transform,1,none
wide_resnet50_2,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.70025223,1,imagenet_c,elastic_transform,1,none
wide_resnet50_2,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.44863507,1,imagenet_c,elastic_transform,1,none
wide_resnet50_2,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.51686203,1,imagenet_c,elastic_transform,1,none
wide_resnet50_2,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.62030345,1,imagenet_c,elastic_transform,1,none
wide_resnet50_2,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.5776265,1,imagenet_c,elastic_transform,1,none
wide_resnet50_2,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.57263154,1,imagenet_c,elastic_transform,1,none
wide_resnet50_2,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.6017145,1,imagenet_c,elastic_transform,1,none
wide_resnet50_2,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.66126865,1,imagenet_c,elastic_transform,1,none
wide_resnet50_2,ILSVRC2012_val_00026064.JPEG,n01440764,0,0,0.44656774,1,imagenet_c,elastic_transform,1,none
wide_resnet50_2,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.6318747,1,imagenet_c,elastic_transform,1,none
wide_resnet50_2,ILSVRC2012_val_00028158.JPEG,n01440764,0,0,0.8738951,1,imagenet_c,elastic_transform,1,none
wide_resnet50_2,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.36013934,1,imagenet_c,elastic_transform,1,none
wide_resnet50_2,ILSVRC2012_val_00030740.JPEG,n01440764,0,0,0.6560349,1,imagenet_c,elastic_transform,1,none
wide_resnet50_2,ILSVRC2012_val_00031094.JPEG,n01440764,0,0,0.38438955,1,imagenet_c,elastic_transform,1,none
wide_resnet50_2,ILSVRC2012_val_00031333.JPEG,n01440764,0,0,0.4329551,1,imagenet_c,elastic_transform,1,none
wide_resnet50_2,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.7230464,1,imagenet_c,elastic_transform,1,none
wide_resnet50_2,ILSVRC2012_val_00037375.JPEG,n01440764,0,0,0.25287277,1,imagenet_c,elastic_transform,1,none
wide_resnet50_2,ILSVRC2012_val_00037383.JPEG,n01440764,0,0,0.60002476,1,imagenet_c,elastic_transform,1,none
wide_resnet50_2,ILSVRC2012_val_00037596.JPEG,n01440764,0,0,0.50970984,1,imagenet_c,elastic_transform,1,none
wide_resnet50_2,ILSVRC2012_val_00037834.JPEG,n01440764,0,0,0.55468154,1,imagenet_c,elastic_transform,1,none
wide_resnet50_2,ILSVRC2012_val_00037861.JPEG,n01440764,0,0,0.55325824,1,imagenet_c,elastic_transform,1,none
