model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
wide_resnet50_2,ILSVRC2012_val_00000293.JPEG,n01440764,0,0,0.5736612,1,imagenet_c,jpeg_compression,1,none
wide_resnet50_2,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.47558296,1,imagenet_c,jpeg_compression,1,none
wide_resnet50_2,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.35976225,1,imagenet_c,jpeg_compression,1,none
wide_resnet50_2,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.5105161,1,imagenet_c,jpeg_compression,1,none
wide_resnet50_2,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.38289708,1,imagenet_c,jpeg_compression,1,none
wide_resnet50_2,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.6888446,1,imagenet_c,jpeg_compression,1,none
wide_resnet50_2,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.45025128,1,imagenet_c,jpeg_compression,1,none
wide_resnet50_2,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.5632315,1,imagenet_c,jpeg_compression,1,none
wide_resnet50_2,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.5065689,1,imagenet_c,jpeg_compression,1,none
wide_resnet50_2,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.74901897,1,imagenet_c,jpeg_compression,1,none
wide_resnet50_2,ILSVRC2012_val_00010306.JPEG,n01440764,0,133,0.20121129,0,imagenet_c,jpeg_compression,1,none
wide_resnet50_2,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.47423768,1,imagenet_c,jpeg_compression,1,none
wide_resnet50_2,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.585771,1,imagenet_c,jpeg_compression,1,none
wide_resnet50_2,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.5853089,1,imagenet_c,jpeg_compression,1,none
wide_resnet50_2,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.61000687,1,imagenet_c,jpeg_compression,1,none
wide_resnet50_2,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.5997315,1,imagenet_c,jpeg_compression,1,none
wide_resnet50_2,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.41448763,1,imagenet_c,jpeg_compression,1,none
wide_resnet50_2,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.5813237,1,imagenet_c,jpeg_compression,1,none
wide_resnet50_2,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.60928,1,imagenet_c,jpeg_compression,1,none
wide_resnet50_2,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.5972403,1,imagenet_c,jpeg_compression,1,none
wide_resnet50_2,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.49274835,1,imagenet_c,jpeg_compression,1,none
wide_resnet50_2,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.54816455,1,imagenet_c,jpeg_compression,1,none
wide_resnet50_2,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.57105905,1,imagenet_c,jpeg_compression,1,none
wide_resnet50_2,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.5727179,1,imagenet_c,jpeg_compression,1,none
wide_resnet50_2,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.708153,1,imagenet_c,jpeg_compression,1,none
wide_resnet50_2,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.54040325,1,imagenet_c,jpeg_compression,1,none
wide_resnet50_2,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.63215494,1,imagenet_c,jpeg_compression,1,none
wide_resnet50_2,ILSVRC2012_val_00026064.JPEG,n01440764,0,0,0.43545923,1,imagenet_c,jpeg_compression,1,none
