model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
wide_resnet50_2,ILSVRC2012_val_00000293.JPEG,n01440764,0,0,0.42572328,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.39207897,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.425571,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.65780026,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.43336874,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.6120713,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.5131967,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.5056819,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.51215804,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.73041266,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00010306.JPEG,n01440764,0,133,0.19981694,0,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.5157345,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.59574085,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.5280159,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.5103386,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.53073025,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.38396356,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.47555223,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.6454971,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.6610826,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.5205198,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.65734804,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.5586127,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.61945975,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.6672252,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.5035707,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.57692456,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00026064.JPEG,n01440764,0,0,0.3697646,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.58254474,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00028158.JPEG,n01440764,0,0,0.8029985,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.60219675,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00030740.JPEG,n01440764,0,0,0.70124143,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00031094.JPEG,n01440764,0,0,0.29413342,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00031333.JPEG,n01440764,0,0,0.4964164,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.56747943,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00037375.JPEG,n01440764,0,0,0.28948373,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00037383.JPEG,n01440764,0,0,0.5724087,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00037596.JPEG,n01440764,0,0,0.5030515,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00037834.JPEG,n01440764,0,0,0.5319912,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00037861.JPEG,n01440764,0,0,0.5008915,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00039905.JPEG,n01440764,0,0,0.73366565,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00040358.JPEG,n01440764,0,0,0.36305386,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00040833.JPEG,n01440764,0,0,0.56366545,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00041939.JPEG,n01440764,0,0,0.55559164,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00045866.JPEG,n01440764,0,0,0.5962783,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00045880.JPEG,n01440764,0,0,0.4802223,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00046252.JPEG,n01440764,0,0,0.3456592,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00046499.JPEG,n01440764,0,0,0.6005701,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00048204.JPEG,n01440764,0,0,0.56430477,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00048969.JPEG,n01440764,0,0,0.52918214,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00000236.JPEG,n01443537,1,115,0.4311033,0,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00000262.JPEG,n01443537,1,1,0.55617225,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00000307.JPEG,n01443537,1,1,0.7415408,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00000994.JPEG,n01443537,1,1,0.5250052,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00002241.JPEG,n01443537,1,766,0.05753602,0,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00002848.JPEG,n01443537,1,1,0.6879559,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00003150.JPEG,n01443537,1,1,0.5853179,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00003735.JPEG,n01443537,1,1,0.35025597,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00004655.JPEG,n01443537,1,1,0.43225327,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00004677.JPEG,n01443537,1,1,0.2752683,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00005870.JPEG,n01443537,1,1,0.3291609,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00006007.JPEG,n01443537,1,111,0.7240035,0,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00006216.JPEG,n01443537,1,1,0.5034186,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00009034.JPEG,n01443537,1,1,0.67493993,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00010363.JPEG,n01443537,1,1,0.34985852,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00010509.JPEG,n01443537,1,1,0.5370207,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00011914.JPEG,n01443537,1,1,0.52243185,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00012880.JPEG,n01443537,1,975,0.32330364,0,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00013513.JPEG,n01443537,1,1,0.56714845,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00013623.JPEG,n01443537,1,1,0.6081061,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00016962.JPEG,n01443537,1,1,0.63288677,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00018075.JPEG,n01443537,1,1,0.5643425,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00019459.JPEG,n01443537,1,1,0.81846786,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00020436.JPEG,n01443537,1,1,0.08698916,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00020785.JPEG,n01443537,1,1,0.2295267,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00020822.JPEG,n01443537,1,1,0.62188166,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00021905.JPEG,n01443537,1,1,0.4251678,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00022138.JPEG,n01443537,1,1,0.05599006,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00023869.JPEG,n01443537,1,1,0.8037105,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00028713.JPEG,n01443537,1,1,0.36438724,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00030060.JPEG,n01443537,1,1,0.056656674,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00030217.JPEG,n01443537,1,1,0.3982252,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00031138.JPEG,n01443537,1,1,0.4091384,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00032235.JPEG,n01443537,1,1,0.60773283,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00032258.JPEG,n01443537,1,1,0.37436596,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00032675.JPEG,n01443537,1,1,0.5659652,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00034386.JPEG,n01443537,1,1,0.4893456,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00037846.JPEG,n01443537,1,1,0.2062274,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00038057.JPEG,n01443537,1,1,0.42616335,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00044095.JPEG,n01443537,1,1,0.4595438,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00045761.JPEG,n01443537,1,1,0.5101466,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00046915.JPEG,n01443537,1,58,0.053964444,0,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00046969.JPEG,n01443537,1,1,0.5167737,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00047396.JPEG,n01443537,1,1,0.74903685,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00047561.JPEG,n01443537,1,1,0.459814,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00048840.JPEG,n01443537,1,1,0.41491696,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00048864.JPEG,n01443537,1,641,0.061058376,0,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00049585.JPEG,n01443537,1,1,0.58948135,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00049617.JPEG,n01443537,1,1,0.6844765,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00049712.JPEG,n01443537,1,1,0.13617972,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00002338.JPEG,n01484850,2,2,0.48602235,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00002752.JPEG,n01484850,2,2,0.4504451,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00004311.JPEG,n01484850,2,2,0.29363677,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00004329.JPEG,n01484850,2,2,0.46716562,1,imagenet_c,pixelate,2,none
wide_resnet50_2,ILSVRC2012_val_00006491.JPEG,n01484850,2,2,0.25213942,1,imagenet_c,pixelate,2,none
