model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
wide_resnet50_2,ILSVRC2012_val_00000293.JPEG,n01440764,0,103,0.19037391,0,imagenet_c,gaussian_noise,3,none
wide_resnet50_2,ILSVRC2012_val_00002138.JPEG,n01440764,0,465,0.037729617,0,imagenet_c,gaussian_noise,3,none
wide_resnet50_2,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.06430086,1,imagenet_c,gaussian_noise,3,none
wide_resnet50_2,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.48986438,1,imagenet_c,gaussian_noise,3,none
wide_resnet50_2,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.27577597,1,imagenet_c,gaussian_noise,3,none
wide_resnet50_2,ILSVRC2012_val_00009111.JPEG,n01440764,0,391,0.12797764,0,imagenet_c,gaussian_noise,3,none
wide_resnet50_2,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.31804144,1,imagenet_c,gaussian_noise,3,none
wide_resnet50_2,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.41561916,1,imagenet_c,gaussian_noise,3,none
wide_resnet50_2,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.5572075,1,imagenet_c,gaussian_noise,3,none
wide_resnet50_2,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.6688557,1,imagenet_c,gaussian_noise,3,none
wide_resnet50_2,ILSVRC2012_val_00010306.JPEG,n01440764,0,138,0.14720052,0,imagenet_c,gaussian_noise,3,none
wide_resnet50_2,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.4475851,1,imagenet_c,gaussian_noise,3,none
wide_resnet50_2,ILSVRC2012_val_00011993.JPEG,n01440764,0,48,0.24761425,0,imagenet_c,gaussian_noise,3,none
wide_resnet50_2,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.2749611,1,imagenet_c,gaussian_noise,3,none
wide_resnet50_2,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.0707319,1,imagenet_c,gaussian_noise,3,none
wide_resnet50_2,ILSVRC2012_val_00016018.JPEG,n01440764,0,103,0.46094525,0,imagenet_c,gaussian_noise,3,none
wide_resnet50_2,ILSVRC2012_val_00017472.JPEG,n01440764,0,608,0.21755438,0,imagenet_c,gaussian_noise,3,none
wide_resnet50_2,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.60066396,1,imagenet_c,gaussian_noise,3,none
wide_resnet50_2,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.49900362,1,imagenet_c,gaussian_noise,3,none
wide_resnet50_2,ILSVRC2012_val_00017995.JPEG,n01440764,0,280,0.3919426,0,imagenet_c,gaussian_noise,3,none
wide_resnet50_2,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.21422657,1,imagenet_c,gaussian_noise,3,none
wide_resnet50_2,ILSVRC2012_val_00021740.JPEG,n01440764,0,363,0.21476932,0,imagenet_c,gaussian_noise,3,none
wide_resnet50_2,ILSVRC2012_val_00023559.JPEG,n01440764,0,103,0.35203394,0,imagenet_c,gaussian_noise,3,none
wide_resnet50_2,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.45283592,1,imagenet_c,gaussian_noise,3,none
wide_resnet50_2,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.5798726,1,imagenet_c,gaussian_noise,3,none
wide_resnet50_2,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.74323606,1,imagenet_c,gaussian_noise,3,none
wide_resnet50_2,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.18172951,1,imagenet_c,gaussian_noise,3,none
wide_resnet50_2,ILSVRC2012_val_00026064.JPEG,n01440764,0,0,0.12521121,1,imagenet_c,gaussian_noise,3,none
wide_resnet50_2,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.54465467,1,imagenet_c,gaussian_noise,3,none
wide_resnet50_2,ILSVRC2012_val_00028158.JPEG,n01440764,0,145,0.120645195,0,imagenet_c,gaussian_noise,3,none
wide_resnet50_2,ILSVRC2012_val_00029930.JPEG,n01440764,0,237,0.05756192,0,imagenet_c,gaussian_noise,3,none
wide_resnet50_2,ILSVRC2012_val_00030740.JPEG,n01440764,0,391,0.06752299,0,imagenet_c,gaussian_noise,3,none
wide_resnet50_2,ILSVRC2012_val_00031094.JPEG,n01440764,0,456,0.060875636,0,imagenet_c,gaussian_noise,3,none
