model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
wide_resnet50_2,ILSVRC2012_val_00000293.JPEG,n01440764,0,111,0.10684571,0,imagenet_c,impulse_noise,4,none
wide_resnet50_2,ILSVRC2012_val_00002138.JPEG,n01440764,0,465,0.058026258,0,imagenet_c,impulse_noise,4,none
wide_resnet50_2,ILSVRC2012_val_00003014.JPEG,n01440764,0,621,0.11440693,0,imagenet_c,impulse_noise,4,none
wide_resnet50_2,ILSVRC2012_val_00006697.JPEG,n01440764,0,395,0.30117878,0,imagenet_c,impulse_noise,4,none
wide_resnet50_2,ILSVRC2012_val_00007197.JPEG,n01440764,0,567,0.08099716,0,imagenet_c,impulse_noise,4,none
wide_resnet50_2,ILSVRC2012_val_00009111.JPEG,n01440764,0,797,0.09715032,0,imagenet_c,impulse_noise,4,none
wide_resnet50_2,ILSVRC2012_val_00009191.JPEG,n01440764,0,34,0.031259418,0,imagenet_c,impulse_noise,4,none
wide_resnet50_2,ILSVRC2012_val_00009346.JPEG,n01440764,0,395,0.073560506,0,imagenet_c,impulse_noise,4,none
wide_resnet50_2,ILSVRC2012_val_00009379.JPEG,n01440764,0,394,0.097388305,0,imagenet_c,impulse_noise,4,none
wide_resnet50_2,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.10487822,1,imagenet_c,impulse_noise,4,none
wide_resnet50_2,ILSVRC2012_val_00010306.JPEG,n01440764,0,395,0.2612643,0,imagenet_c,impulse_noise,4,none
wide_resnet50_2,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.46321005,1,imagenet_c,impulse_noise,4,none
wide_resnet50_2,ILSVRC2012_val_00011993.JPEG,n01440764,0,296,0.01793598,0,imagenet_c,impulse_noise,4,none
wide_resnet50_2,ILSVRC2012_val_00012503.JPEG,n01440764,0,391,0.23444764,0,imagenet_c,impulse_noise,4,none
wide_resnet50_2,ILSVRC2012_val_00013716.JPEG,n01440764,0,642,0.03295435,0,imagenet_c,impulse_noise,4,none
wide_resnet50_2,ILSVRC2012_val_00016018.JPEG,n01440764,0,103,0.10442813,0,imagenet_c,impulse_noise,4,none
wide_resnet50_2,ILSVRC2012_val_00017472.JPEG,n01440764,0,980,0.027571525,0,imagenet_c,impulse_noise,4,none
wide_resnet50_2,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.07326426,1,imagenet_c,impulse_noise,4,none
wide_resnet50_2,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.06945197,1,imagenet_c,impulse_noise,4,none
wide_resnet50_2,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.05481495,1,imagenet_c,impulse_noise,4,none
wide_resnet50_2,ILSVRC2012_val_00018317.JPEG,n01440764,0,280,0.20833936,0,imagenet_c,impulse_noise,4,none
wide_resnet50_2,ILSVRC2012_val_00021740.JPEG,n01440764,0,608,0.031520806,0,imagenet_c,impulse_noise,4,none
wide_resnet50_2,ILSVRC2012_val_00023559.JPEG,n01440764,0,103,0.6305944,0,imagenet_c,impulse_noise,4,none
wide_resnet50_2,ILSVRC2012_val_00024235.JPEG,n01440764,0,103,0.17129892,0,imagenet_c,impulse_noise,4,none
wide_resnet50_2,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.3034025,1,imagenet_c,impulse_noise,4,none
wide_resnet50_2,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.06520365,1,imagenet_c,impulse_noise,4,none
wide_resnet50_2,ILSVRC2012_val_00025527.JPEG,n01440764,0,391,0.08055225,0,imagenet_c,impulse_noise,4,none
wide_resnet50_2,ILSVRC2012_val_00026064.JPEG,n01440764,0,766,0.10502329,0,imagenet_c,impulse_noise,4,none
wide_resnet50_2,ILSVRC2012_val_00026397.JPEG,n01440764,0,103,0.07160984,0,imagenet_c,impulse_noise,4,none
wide_resnet50_2,ILSVRC2012_val_00028158.JPEG,n01440764,0,6,0.06870547,0,imagenet_c,impulse_noise,4,none
wide_resnet50_2,ILSVRC2012_val_00029930.JPEG,n01440764,0,861,0.029230464,0,imagenet_c,impulse_noise,4,none
wide_resnet50_2,ILSVRC2012_val_00030740.JPEG,n01440764,0,457,0.18088202,0,imagenet_c,impulse_noise,4,none
wide_resnet50_2,ILSVRC2012_val_00031094.JPEG,n01440764,0,379,0.04250369,0,imagenet_c,impulse_noise,4,none
