model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
wide_resnet50_2,ILSVRC2012_val_00000293.JPEG,n01440764,0,103,0.15017255,0,imagenet_c,shot_noise,2,none
wide_resnet50_2,ILSVRC2012_val_00002138.JPEG,n01440764,0,413,0.09743565,0,imagenet_c,shot_noise,2,none
wide_resnet50_2,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.08526066,1,imagenet_c,shot_noise,2,none
wide_resnet50_2,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.6866494,1,imagenet_c,shot_noise,2,none
wide_resnet50_2,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.6357102,1,imagenet_c,shot_noise,2,none
wide_resnet50_2,ILSVRC2012_val_00009111.JPEG,n01440764,0,314,0.0739102,0,imagenet_c,shot_noise,2,none
wide_resnet50_2,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.47836322,1,imagenet_c,shot_noise,2,none
wide_resnet50_2,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.41930026,1,imagenet_c,shot_noise,2,none
wide_resnet50_2,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.6115909,1,imagenet_c,shot_noise,2,none
wide_resnet50_2,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.7322928,1,imagenet_c,shot_noise,2,none
wide_resnet50_2,ILSVRC2012_val_00010306.JPEG,n01440764,0,129,0.2090676,0,imagenet_c,shot_noise,2,none
wide_resnet50_2,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.5042687,1,imagenet_c,shot_noise,2,none
wide_resnet50_2,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.6164985,1,imagenet_c,shot_noise,2,none
wide_resnet50_2,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.49572307,1,imagenet_c,shot_noise,2,none
wide_resnet50_2,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.44475916,1,imagenet_c,shot_noise,2,none
wide_resnet50_2,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.69178283,1,imagenet_c,shot_noise,2,none
wide_resnet50_2,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.19366902,1,imagenet_c,shot_noise,2,none
wide_resnet50_2,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.59889096,1,imagenet_c,shot_noise,2,none
wide_resnet50_2,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.6517245,1,imagenet_c,shot_noise,2,none
wide_resnet50_2,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.4527085,1,imagenet_c,shot_noise,2,none
wide_resnet50_2,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.3366977,1,imagenet_c,shot_noise,2,none
wide_resnet50_2,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.50315446,1,imagenet_c,shot_noise,2,none
wide_resnet50_2,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.7498783,1,imagenet_c,shot_noise,2,none
wide_resnet50_2,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.5496415,1,imagenet_c,shot_noise,2,none
wide_resnet50_2,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.67859024,1,imagenet_c,shot_noise,2,none
wide_resnet50_2,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.69087046,1,imagenet_c,shot_noise,2,none
wide_resnet50_2,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.48574048,1,imagenet_c,shot_noise,2,none
wide_resnet50_2,ILSVRC2012_val_00026064.JPEG,n01440764,0,0,0.117812894,1,imagenet_c,shot_noise,2,none
wide_resnet50_2,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.5368221,1,imagenet_c,shot_noise,2,none
wide_resnet50_2,ILSVRC2012_val_00028158.JPEG,n01440764,0,145,0.058002383,0,imagenet_c,shot_noise,2,none
wide_resnet50_2,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.08606449,1,imagenet_c,shot_noise,2,none
wide_resnet50_2,ILSVRC2012_val_00030740.JPEG,n01440764,0,0,0.24900092,1,imagenet_c,shot_noise,2,none
