synset,class_name,fragile_count,mean_RmCE,max_RmCE,fragile_models
n01985128,crayfish,19,3.2846003898635474,4.018518518518518,"ResNet-18, ResNet-50, ResNet-152, RegNet-Y-16GF, ResNeXt-101-64x4d, Wide-ResNet-50-2, Wide-ResNet-101-2, EfficientNet-B0, EfficientNet-B4, EfficientNet-V2-M, DenseNet-121, MobileNet-V3-Large, ViT-B/16, ViT-L/16, Swin-B, Swin-V2-B, MaxVit-T, ConvNeXt-Base, ConvNeXt-Large"
n02971356,carton,19,3.4754990925589824,4.551724137931035,"ResNet-18, ResNet-50, ResNet-152, RegNet-Y-16GF, ResNeXt-101-64x4d, Wide-ResNet-50-2, Wide-ResNet-101-2, EfficientNet-B0, EfficientNet-B4, EfficientNet-V2-M, DenseNet-121, MobileNet-V3-Large, ViT-B/16, ViT-L/16, Swin-B, Swin-V2-B, MaxVit-T, ConvNeXt-Base, ConvNeXt-Large"
n04557648,water_bottle,19,4.74436090225564,6.857142857142858,"ResNet-18, ResNet-50, ResNet-152, RegNet-Y-16GF, ResNeXt-101-64x4d, Wide-ResNet-50-2, Wide-ResNet-101-2, EfficientNet-B0, EfficientNet-B4, EfficientNet-V2-M, DenseNet-121, MobileNet-V3-Large, ViT-B/16, ViT-L/16, Swin-B, Swin-V2-B, MaxVit-T, ConvNeXt-Base, ConvNeXt-Large"
n04254120,soap_dispenser,19,5.483709273182959,7.190476190476191,"ResNet-18, ResNet-50, ResNet-152, RegNet-Y-16GF, ResNeXt-101-64x4d, Wide-ResNet-50-2, Wide-ResNet-101-2, EfficientNet-B0, EfficientNet-B4, EfficientNet-V2-M, DenseNet-121, MobileNet-V3-Large, ViT-B/16, ViT-L/16, Swin-B, Swin-V2-B, MaxVit-T, ConvNeXt-Base, ConvNeXt-Large"
n04154565,screwdriver,18,4.263157894736842,6.608695652173911,"ResNet-18, ResNet-50, ResNet-152, RegNet-Y-16GF, ResNeXt-101-64x4d, Wide-ResNet-50-2, Wide-ResNet-101-2, EfficientNet-B0, EfficientNet-B4, EfficientNet-V2-M, MobileNet-V3-Large, ViT-B/16, ViT-L/16, Swin-B, Swin-V2-B, MaxVit-T, ConvNeXt-Base, ConvNeXt-Large"
n15075141,toilet_tissue,18,2.577972709551657,3.2592592592592586,"ResNet-18, ResNet-50, ResNet-152, RegNet-Y-16GF, ResNeXt-101-64x4d, Wide-ResNet-50-2, Wide-ResNet-101-2, EfficientNet-B0, EfficientNet-B4, EfficientNet-V2-M, DenseNet-121, MobileNet-V3-Large, ViT-B/16, Swin-B, Swin-V2-B, MaxVit-T, ConvNeXt-Base, ConvNeXt-Large"
n03832673,notebook,18,3.21207430340557,4.823529411764702,"ResNet-18, ResNet-50, ResNet-152, RegNet-Y-16GF, ResNeXt-101-64x4d, Wide-ResNet-50-2, Wide-ResNet-101-2, EfficientNet-B0, EfficientNet-B4, EfficientNet-V2-M, DenseNet-121, MobileNet-V3-Large, ViT-B/16, ViT-L/16, Swin-B, MaxVit-T, ConvNeXt-Base, ConvNeXt-Large"
n03372029,flute,18,3.310696095076399,4.483870967741933,"ResNet-50, ResNet-152, RegNet-Y-16GF, ResNeXt-101-64x4d, Wide-ResNet-50-2, Wide-ResNet-101-2, EfficientNet-B0, EfficientNet-B4, EfficientNet-V2-M, DenseNet-121, MobileNet-V3-Large, ViT-B/16, ViT-L/16, Swin-B, Swin-V2-B, MaxVit-T, ConvNeXt-Base, ConvNeXt-Large"
n04317175,stethoscope,17,4.193684210526315,5.759999999999998,"ResNet-18, ResNet-50, ResNet-152, RegNet-Y-16GF, ResNeXt-101-64x4d, Wide-ResNet-50-2, Wide-ResNet-101-2, EfficientNet-B0, EfficientNet-B4, EfficientNet-V2-M, DenseNet-121, MobileNet-V3-Large, Swin-B, Swin-V2-B, MaxVit-T, ConvNeXt-Base, ConvNeXt-Large"
n03041632,cleaver,17,2.503432494279177,3.304347826086957,"ResNet-50, ResNet-152, RegNet-Y-16GF, ResNeXt-101-64x4d, Wide-ResNet-50-2, Wide-ResNet-101-2, EfficientNet-B0, EfficientNet-B4, EfficientNet-V2-M, MobileNet-V3-Large, ViT-B/16, ViT-L/16, Swin-B, Swin-V2-B, MaxVit-T, ConvNeXt-Base, ConvNeXt-Large"
